type,values,model,period,lambda
peak_to_through,3.615205593202969,cap,2020,0.9
max_1d,1.244202352588034,cap,2020,0.9
max_5d,1.775880004103701,cap,2020,0.9
max_30d,3.4686961796154234,cap,2020,0.9
n_breaches,10,buffer,2020,0.9
N_observations,254,buffer,2020,0.9
perc_breaches,0.03937007874015748,buffer,2020,0.9
conf_level,0.9606299212598425,buffer,2020,0.9
avg_shortfall,-0.016797526798610254,buffer,2020,0.9
max_shortfall,-0.027058974891864956,buffer,2020,0.9
costs,0.12190641935664258,buffer,2020,0.9
peak_to_through,4.377462183005776,buffer,2020,0.9
max_1d,1.2442023525880341,buffer,2020,0.9
max_5d,1.7758800041037008,buffer,2020,0.9
max_30d,4.129967847892707,buffer,2020,0.9
n_breaches,8,cap_floor,2020,0.9
N_observations,254,cap_floor,2020,0.9
perc_breaches,0.031496062992125984,cap_floor,2020,0.9
conf_level,0.9685039370078741,cap_floor,2020,0.9
avg_shortfall,-0.030678868598570684,cap_floor,2020,0.9
max_shortfall,-0.04933998168982821,cap_floor,2020,0.9
costs,0.09963945364725754,cap_floor,2020,0.9
peak_to_through,1.895965959227707,cap_floor,2020,0.9
max_1d,1.244202352588034,cap_floor,2020,0.9
max_5d,1.563392907688916,cap_floor,2020,0.9
max_30d,1.895965959227707,cap_floor,2020,0.9
n_breaches,8,speed_floor,2020,0.9
N_observations,254,speed_floor,2020,0.9
perc_breaches,0.031496062992125984,speed_floor,2020,0.9
conf_level,0.9685039370078741,speed_floor,2020,0.9
avg_shortfall,-0.030678868598570684,speed_floor,2020,0.9
max_shortfall,-0.04933998168982821,speed_floor,2020,0.9
costs,0.1057069641237761,speed_floor,2020,0.9
peak_to_through,2.7652426975283957,speed_floor,2020,0.9
max_1d,1.244202352588034,speed_floor,2020,0.9
max_5d,1.6915654500257655,speed_floor,2020,0.9
max_30d,2.1741637119557535,speed_floor,2020,0.9
kpf,1,baseline,all,0.9
kpf,1,floor,all,0.9
kpf,1,cap,all,0.9
kpf,1,speed,all,0.9
kpf,1,buffer,all,0.9
kpf,1,speed_floor,all,0.9
kpf,1,cap_floor,all,0.9
n_breaches,41,baseline,all,0.905
N_observations,3610,baseline,all,0.905
perc_breaches,0.011357340720221607,baseline,all,0.905
conf_level,0.9886426592797783,baseline,all,0.905
avg_shortfall,-0.021472479657891556,baseline,all,0.905
max_shortfall,-0.07920949888627656,baseline,all,0.905
costs,0.07041971932734903,baseline,all,0.905
peak_to_through,6.770451668578473,baseline,all,0.905
max_1d,1.3957673471023815,baseline,all,0.905
max_5d,2.044167360385987,baseline,all,0.905
max_30d,5.092844954609933,baseline,all,0.905
n_breaches,41,speed,all,0.905
N_observations,3610,speed,all,0.905
perc_breaches,0.011357340720221607,speed,all,0.905
conf_level,0.9886426592797783,speed,all,0.905
avg_shortfall,-0.022445987414385023,speed,all,0.905
max_shortfall,-0.07920949888627656,speed,all,0.905
costs,0.07027598421587308,speed,all,0.905
peak_to_through,6.5893123018012725,speed,all,0.905
max_1d,1.3957673471023815,speed,all,0.905
max_5d,1.9207348949991774,speed,all,0.905
max_30d,2.317358144343008,speed,all,0.905
n_breaches,21,floor,all,0.905
N_observations,3610,floor,all,0.905
perc_breaches,0.005817174515235457,floor,all,0.905
conf_level,0.9941828254847646,floor,all,0.905
avg_shortfall,-0.026386032422762058,floor,all,0.905
max_shortfall,-0.07920949888627656,floor,all,0.905
costs,0.08207859172688281,floor,all,0.905
peak_to_through,2.8634681464651837,floor,all,0.905
max_1d,1.2462631677936669,floor,all,0.905
max_5d,1.8611210292506601,floor,all,0.905
max_30d,2.852371807250063,floor,all,0.905
n_breaches,41,cap,all,0.905
N_observations,3610,cap,all,0.905
perc_breaches,0.011357340720221607,cap,all,0.905
conf_level,0.9886426592797783,cap,all,0.905
avg_shortfall,-0.021472479657891556,cap,all,0.905
max_shortfall,-0.07920949888627656,cap,all,0.905
costs,0.0690655150330315,cap,all,0.905
peak_to_through,4.551573031025981,cap,all,0.905
max_1d,1.3957673471023815,cap,all,0.905
max_5d,2.044167360385987,cap,all,0.905
max_30d,3.498810284492747,cap,all,0.905
n_breaches,21,buffer,all,0.905
N_observations,3610,buffer,all,0.905
perc_breaches,0.005817174515235457,buffer,all,0.905
conf_level,0.9941828254847646,buffer,all,0.905
avg_shortfall,-0.01966067500429404,buffer,all,0.905
max_shortfall,-0.05444979819037085,buffer,all,0.905
costs,0.08702881827955496,buffer,all,0.905
peak_to_through,5.416361334862779,buffer,all,0.905
max_1d,1.3957673471023817,buffer,all,0.905
max_5d,2.044167360385987,buffer,all,0.905
max_30d,4.074275963687946,buffer,all,0.905
n_breaches,21,cap_floor,all,0.905
N_observations,3610,cap_floor,all,0.905
perc_breaches,0.005817174515235457,cap_floor,all,0.905
conf_level,0.9941828254847646,cap_floor,all,0.905
avg_shortfall,-0.026386032422762058,cap_floor,all,0.905
max_shortfall,-0.07920949888627656,cap_floor,all,0.905
costs,0.08072401251443286,cap_floor,all,0.905
peak_to_through,1.9250243600644974,cap_floor,all,0.905
max_1d,1.2462631677936669,cap_floor,all,0.905
max_5d,1.5581837305196709,cap_floor,all,0.905
max_30d,1.9250243600644974,cap_floor,all,0.905
n_breaches,21,speed_floor,all,0.905
N_observations,3610,speed_floor,all,0.905
perc_breaches,0.005817174515235457,speed_floor,all,0.905
conf_level,0.9941828254847646,speed_floor,all,0.905
avg_shortfall,-0.026386032422762058,speed_floor,all,0.905
max_shortfall,-0.07920949888627656,speed_floor,all,0.905
costs,0.08199074144066354,speed_floor,all,0.905
peak_to_through,2.786857776547826,speed_floor,all,0.905
max_1d,1.2462631677936669,speed_floor,all,0.905
max_5d,1.6884681368815277,speed_floor,all,0.905
max_30d,2.156201611310972,speed_floor,all,0.905
n_breaches,13,baseline,2020,0.905
N_observations,254,baseline,2020,0.905
perc_breaches,0.051181102362204724,baseline,2020,0.905
conf_level,0.9488188976377953,baseline,2020,0.905
avg_shortfall,-0.028701467013555172,baseline,2020,0.905
max_shortfall,-0.04989060931064644,baseline,2020,0.905
costs,0.1035553865323338,baseline,2020,0.905
peak_to_through,5.4061237137287925,baseline,2020,0.905
max_1d,1.2462631677936669,baseline,2020,0.905
max_5d,1.8611210292506601,baseline,2020,0.905
max_30d,5.092844954609933,baseline,2020,0.905
n_breaches,13,speed,2020,0.905
N_observations,254,speed,2020,0.905
perc_breaches,0.051181102362204724,speed,2020,0.905
conf_level,0.9488188976377953,speed,2020,0.905
avg_shortfall,-0.031771760707111504,speed,2020,0.905
max_shortfall,-0.07522154799702671,speed,2020,0.905
costs,0.09880386939039046,speed,2020,0.905
peak_to_through,5.198162564272316,speed,2020,0.905
max_1d,1.1972681463595123,speed,2020,0.905
max_5d,1.7628744466160797,speed,2020,0.905
max_30d,2.317358144343008,speed,2020,0.905
n_breaches,8,floor,2020,0.905
N_observations,254,floor,2020,0.905
perc_breaches,0.031496062992125984,floor,2020,0.905
conf_level,0.9685039370078741,floor,2020,0.905
avg_shortfall,-0.030978218800697704,floor,2020,0.905
max_shortfall,-0.04989060931064644,floor,2020,0.905
costs,0.10898191919503906,floor,2020,0.905
peak_to_through,2.8634681464651837,floor,2020,0.905
max_1d,1.2462631677936669,floor,2020,0.905
max_5d,1.8611210292506601,floor,2020,0.905
max_30d,2.852371807250063,floor,2020,0.905
n_breaches,13,cap,2020,0.905
N_observations,254,cap,2020,0.905
perc_breaches,0.051181102362204724,cap,2020,0.905
conf_level,0.9488188976377953,cap,2020,0.905
avg_shortfall,-0.028701467013555172,cap,2020,0.905
max_shortfall,-0.04989060931064644,cap,2020,0.905
costs,0.09573863753083904,cap,2020,0.905
peak_to_through,3.634375977011347,cap,2020,0.905
max_1d,1.2462631677936669,cap,2020,0.905
max_5d,1.7628744466160797,cap,2020,0.905
max_30d,3.498810284492747,cap,2020,0.905
n_breaches,10,buffer,2020,0.905
N_observations,254,buffer,2020,0.905
perc_breaches,0.03937007874015748,buffer,2020,0.905
conf_level,0.9606299212598425,buffer,2020,0.905
avg_shortfall,-0.01694192505801242,buffer,2020,0.905
max_shortfall,-0.027437841376336036,buffer,2020,0.905
costs,0.12381202932011301,buffer,2020,0.905
peak_to_through,4.324898970983034,buffer,2020,0.905
max_1d,1.2462631677936669,buffer,2020,0.905
max_5d,1.7628744466160797,buffer,2020,0.905
max_30d,4.074275963687946,buffer,2020,0.905
n_breaches,8,cap_floor,2020,0.905
N_observations,254,cap_floor,2020,0.905
perc_breaches,0.031496062992125984,cap_floor,2020,0.905
conf_level,0.9685039370078741,cap_floor,2020,0.905
avg_shortfall,-0.030978218800697704,cap_floor,2020,0.905
max_shortfall,-0.04989060931064644,cap_floor,2020,0.905
costs,0.1011651701935443,cap_floor,2020,0.905
peak_to_through,1.9250243600644974,cap_floor,2020,0.905
max_1d,1.2462631677936669,cap_floor,2020,0.905
max_5d,1.5581837305196709,cap_floor,2020,0.905
max_30d,1.9250243600644974,cap_floor,2020,0.905
n_breaches,8,speed_floor,2020,0.905
N_observations,254,speed_floor,2020,0.905
perc_breaches,0.031496062992125984,speed_floor,2020,0.905
conf_level,0.9685039370078741,speed_floor,2020,0.905
avg_shortfall,-0.030978218800697704,speed_floor,2020,0.905
max_shortfall,-0.04989060931064644,speed_floor,2020,0.905
costs,0.10698920331854439,speed_floor,2020,0.905
peak_to_through,2.7533171105836582,speed_floor,2020,0.905
max_1d,1.2462631677936669,speed_floor,2020,0.905
max_5d,1.6884681368815277,speed_floor,2020,0.905
max_30d,2.156201611310972,speed_floor,2020,0.905
kpf,1,baseline,all,0.905
kpf,1,floor,all,0.905
kpf,1,cap,all,0.905
kpf,1,speed,all,0.905
kpf,1,buffer,all,0.905
kpf,1,speed_floor,all,0.905
kpf,1,cap_floor,all,0.905
n_breaches,41,baseline,all,0.91
N_observations,3610,baseline,all,0.91
perc_breaches,0.011357340720221607,baseline,all,0.91
conf_level,0.9886426592797783,baseline,all,0.91
avg_shortfall,-0.021177031756774996,baseline,all,0.91
max_shortfall,-0.07916133410741262,baseline,all,0.91
costs,0.0710933477101239,baseline,all,0.91
peak_to_through,6.650793514419798,baseline,all,0.91
max_1d,1.38495959129397,baseline,all,0.91
max_5d,2.013242051126247,baseline,all,0.91
max_30d,5.031282406387213,baseline,all,0.91
n_breaches,41,speed,all,0.91
N_observations,3610,speed,all,0.91
perc_breaches,0.011357340720221607,speed,all,0.91
conf_level,0.9886426592797783,speed,all,0.91
avg_shortfall,-0.022192919112906415,speed,all,0.91
max_shortfall,-0.07916133410741262,speed,all,0.91
costs,0.07094577798680395,speed,all,0.91
peak_to_through,6.447892558962343,speed,all,0.91
max_1d,1.38495959129397,speed,all,0.91
max_5d,1.9000743626642056,speed,all,0.91
max_30d,2.298853457641065,speed,all,0.91
n_breaches,21,floor,all,0.91
N_observations,3610,floor,all,0.91
perc_breaches,0.005817174515235457,floor,all,0.91
conf_level,0.9941828254847646,floor,all,0.91
avg_shortfall,-0.026404778850319794,floor,all,0.91
max_shortfall,-0.07916133410741262,floor,all,0.91
costs,0.08239700661641619,floor,all,0.91
peak_to_through,2.8585483848634867,floor,all,0.91
max_1d,1.248199869007978,floor,all,0.91
max_5d,1.8586670372597014,floor,all,0.91
max_30d,2.846535484425762,floor,all,0.91
n_breaches,41,cap,all,0.91
N_observations,3610,cap,all,0.91
perc_breaches,0.011357340720221607,cap,all,0.91
conf_level,0.9886426592797783,cap,all,0.91
avg_shortfall,-0.021177031756774996,cap,all,0.91
