type,values,model,period,lambda
costs,0.07041971932734903,baseline,all,0.905
peak_to_through,6.770451668578473,baseline,all,0.905
max_1d,1.3957673471023815,baseline,all,0.905
max_5d,2.044167360385987,baseline,all,0.905
max_30d,5.092844954609933,baseline,all,0.905
n_breaches,41,speed,all,0.905
N_observations,3610,speed,all,0.905
perc_breaches,0.011357340720221607,speed,all,0.905
conf_level,0.9886426592797783,speed,all,0.905
avg_shortfall,-0.02446289444541527,speed,all,0.905
max_shortfall,-0.08990954900798948,speed,all,0.905
costs,0.06956577063689416,speed,all,0.905
peak_to_through,6.5893123018012725,speed,all,0.905
max_1d,1.3957673471023813,speed,all,0.905
max_5d,1.7187447350546359,speed,all,0.905
max_30d,1.8000000000000003,speed,all,0.905
n_breaches,21,floor,all,0.905
N_observations,3610,floor,all,0.905
perc_breaches,0.005817174515235457,floor,all,0.905
conf_level,0.9941828254847646,floor,all,0.905
avg_shortfall,-0.026386032422762058,floor,all,0.905
max_shortfall,-0.07920949888627656,floor,all,0.905
costs,0.08207859172688281,floor,all,0.905
peak_to_through,2.8634681464651837,floor,all,0.905
max_1d,1.2462631677936669,floor,all,0.905
max_5d,1.8611210292506601,floor,all,0.905
max_30d,2.852371807250063,floor,all,0.905
n_breaches,21,cap,all,0.905
N_observations,3610,cap,all,0.905
perc_breaches,0.005817174515235457,cap,all,0.905
conf_level,0.9941828254847646,cap,all,0.905
avg_shortfall,-0.026386032422762058,cap,all,0.905
max_shortfall,-0.07920949888627656,cap,all,0.905
costs,0.08072401251443286,cap,all,0.905
peak_to_through,1.9250243600644974,cap,all,0.905
max_1d,1.2462631677936669,cap,all,0.905
max_5d,1.5581837305196709,cap,all,0.905
max_30d,1.9250243600644974,cap,all,0.905
n_breaches,21,buffer,all,0.905
N_observations,3610,buffer,all,0.905
perc_breaches,0.005817174515235457,buffer,all,0.905
conf_level,0.9941828254847646,buffer,all,0.905
avg_shortfall,-0.01966067500429404,buffer,all,0.905
max_shortfall,-0.05444979819037085,buffer,all,0.905
costs,0.08717328902801924,buffer,all,0.905
peak_to_through,5.416361334862779,buffer,all,0.905
max_1d,1.3957673471023817,buffer,all,0.905
max_5d,2.044167360385987,buffer,all,0.905
max_30d,4.074275963687946,buffer,all,0.905
n_breaches,13,baseline,2020,0.905
N_observations,254,baseline,2020,0.905
perc_breaches,0.051181102362204724,baseline,2020,0.905
conf_level,0.9488188976377953,baseline,2020,0.905
avg_shortfall,-0.028701467013555172,baseline,2020,0.905
max_shortfall,-0.04989060931064644,baseline,2020,0.905
costs,0.1035553865323338,baseline,2020,0.905
peak_to_through,5.4061237137287925,baseline,2020,0.905
max_1d,1.2462631677936669,baseline,2020,0.905
max_5d,1.8611210292506601,baseline,2020,0.905
max_30d,5.092844954609933,baseline,2020,0.905
n_breaches,13,speed,2020,0.905
N_observations,254,speed,2020,0.905
perc_breaches,0.051181102362204724,speed,2020,0.905
conf_level,0.9488188976377953,speed,2020,0.905
avg_shortfall,-0.0381327751895915,speed,2020,0.905
max_shortfall,-0.08990954900798948,speed,2020,0.905
costs,0.09404674622962383,speed,2020,0.905
peak_to_through,4.589314217846809,speed,2020,0.905
max_1d,1.1972681463595123,speed,2020,0.905
max_5d,1.5852469399816669,speed,2020,0.905
max_30d,1.8000000000000003,speed,2020,0.905
n_breaches,8,floor,2020,0.905
N_observations,254,floor,2020,0.905
perc_breaches,0.031496062992125984,floor,2020,0.905
conf_level,0.9685039370078741,floor,2020,0.905
avg_shortfall,-0.030978218800697704,floor,2020,0.905
max_shortfall,-0.04989060931064644,floor,2020,0.905
costs,0.10898191919503906,floor,2020,0.905
peak_to_through,2.8634681464651837,floor,2020,0.905
max_1d,1.2462631677936669,floor,2020,0.905
max_5d,1.8611210292506601,floor,2020,0.905
max_30d,2.852371807250063,floor,2020,0.905
n_breaches,8,cap,2020,0.905
N_observations,254,cap,2020,0.905
perc_breaches,0.031496062992125984,cap,2020,0.905
conf_level,0.9685039370078741,cap,2020,0.905
avg_shortfall,-0.030978218800697704,cap,2020,0.905
max_shortfall,-0.04989060931064644,cap,2020,0.905
