BUCKET,DATE,LOG_RET,PRICE,LOG_RET_MPOR,RET_MPOR,EWMA_VOL,EWMA_MEAN,deval,MARGIN_LONG,MARGIN_SHORT,BREACH,COLOR,SIZE
1,2022-12-30,-0.01780617875460845,3785,-0.013644924375403135,-0.013552254365389538,0.022123563904863797,7.38323898998729e-4,-0.6692194944465185,0.1035746607161144,0.07306538328797779,FALSE,black,0.5
2,2022-12-29,0.010698079852064963,3853,0.008601643025536888,0.008638743455497533,0.020226798302524992,0.0015470344740554627,0.35683705856966963,0.1035746607161144,0.07306538328797779,FALSE,black,0.5
3,2022-12-28,-0.006536825472859648,3812,-0.0026198600261255226,-0.0026164311878597024,0.020873621892831033,0.0010349678008352643,-0.17881279159061045,0.1035746607161144,0.07306538328797779,FALSE,black,0.5
1,2022-12-27,0.0044403886463315724,3837,-0.00985485154049487,-0.009806451612903055,0.02238808355012708,0.0013376175796393267,-0.5128088350135487,0.1035746607161144,0.07306538328797779,FALSE,black,0.5
2,2022-12-23,-5.234231995974472e-4,3820,0.004460193672361276,0.0044701551406785,0.020593602301755467,0.0012530825548248891,0.15902375663591167,0.1035746607161144,0.07306538328797779,FALSE,black,0.5
3,2022-12-22,-0.013771816987228996,3822,0.0010471205145254512,0.0010476689366161196,0.021290988844950426,0.0011872411249646097,-0.006716650746652163,0.1035746607161144,0.07306538328797779,FALSE,black,0.5
1,2022-12-21,0.01875543385918772,3875,0.022601896435501027,0.022859254566571563,0.02273523567960615,0.001803978182122424,0.949684118465206,0.1035746607161144,0.07306538328797779,FALSE,black,0.5
2,2022-12-20,-0.0039364963574332725,3803,-0.008379205873096996,-0.008344198174706774,0.021008081917247623,0.0011194095661655934,-0.4633627786324139,0.1035746607161144,0.07306538328797779,FALSE,black,0.5
3,2022-12-19,0.0077829589337465805,3818,-0.04080104092199776,-0.03997988433492583,0.021730006584386088,0.0011930733794752245,-2.138599293512266,0.10361751352088874,0.07310296969721664,FALSE,black,0.5
1,2022-12-16,-0.012225668449410304,3788.4,-0.049840439272195274,-0.048618784530386705,0.022812384026724277,9.373376209916377e-4,-2.537069768235008,0.1035746607161144,0.07306538328797779,FALSE,black,0.5
2,2022-12-15,-0.03635833140633404,3835,-0.02370634077665304,-0.023427552839317523,0.021353440034480732,0.0015151834346406232,-1.2406180759422993,0.1035746607161144,0.07306538328797779,FALSE,black,0.5
3,2022-12-14,-0.0012564394164509358,3977,0.008839557495025076,0.008878741755454111,0.020454480921653858,0.0029428975262113075,0.29471762150692643,0.1035746607161144,0.07306538328797779,FALSE,black,0.5
1,2022-12-13,0.013908430046131931,3982,0.014672663938887904,0.014780835881753385,0.020848306542654908,0.0030531689760706126,0.5723965332720719,0.1035746607161144,0.07306538328797779,FALSE,black,0.5
2,2022-12-12,-0.0038124331346559197,3927,-2.5461489634679194e-4,-2.5458248472498557e-4,0.02117692102924777,0.002566130245034343,-0.13599357457794758,0.1035746607161144,0.07306538328797779,FALSE,black,0.5
3,2022-12-09,0.0045766670274118935,3942,0.0012691967689281451,0.0012700025400051995,0.02084153820615791,0.0026971889263604823,-0.06993603464834934,0.1035746607161144,0.07306538328797779,FALSE,black,0.5
1,2022-12-08,-0.0010188487891027657,3924,-0.010142074764624866,-0.010090817356205761,0.02114560849770081,0.0025689909408754966,-0.6180003038100408,0.1035746607161144,0.07306538328797779,FALSE,black,0.5
2,2022-12-07,-0.0022886214693809827,3928,-0.012900140952572076,-0.012817290776577006,0.021605935597050714,0.0026836535175970566,-0.7439299220527357,0.1035746607161144,0.07306538328797779,FALSE,black,0.5
3,2022-12-06,-0.006834604506141117,3937,-0.010611519483191093,-0.010555415933651613,0.021269308609324647,0.0027566878727763085,-0.6466117211246087,0.1035746607161144,0.07306538328797779,FALSE,black,0.5
1,2022-12-05,-0.0037769149770499762,3964,-2.522386190697756e-4,-2.522068095839325e-4,0.021425104902549015,0.0030986465743124206,-0.15970256426264745,0.1035746607161144,0.07306538328797779,FALSE,black,0.5
2,2022-12-02,0,3979,0.011373811477924083,0.011438739196746095,0.021820814356689075,0.0033330157709268427,0.3771167611821033,0.1035746607161144,0.07306538328797779,FALSE,black,0.5
3,2022-12-01,0.0035246763579802006,3979,0.010357551227857604,0.010411376333163913,0.02153569871318654,0.003313715727363478,0.33453856140782534,0.1035746607161144,0.07306538328797779,FALSE,black,0.5
1,2022-11-30,0.007849135119943883,3965,0.0010093364470316348,0.0010098459984850816,0.021856209548390314,0.0032382540908699174,-0.10410570770932921,0.1036620951660614,0.07314207960033013,FALSE,black,0.5
2,2022-11-29,-0.001016260250066479,3934,-0.00734459424143059,-0.007317688619732476,0.022210209457284122,0.0029979692222169754,-0.47734398561568225,0.1038545651681341,0.07331101011842454,FALSE,black,0.5
3,2022-11-28,-0.005823538422845769,3938,-0.0030425986960965924,-0.0030379746835441646,0.021932701202738606,0.00302021691970575,-0.28255991438532807,0.10400961184657058,0.07344719281693884,FALSE,black,0.5
1,2022-11-25,-5.047955685183422e-4,3961,0.0073483163548596206,0.007375381485249299,0.02230225992236854,0.0033311289997672213,0.1839587272906701,0.1041898495423912,0.0736056122906457,FALSE,black,0.5
2,2022-11-24,0.0032857352952675193,3963,0.013208218434920968,0.01329583226796216,0.02256967729255179,0.003428905471455843,0.44389928314293536,0.1043816779546918,0.07377435024166117,FALSE,black,0.5
3,2022-11-23,0.004567376628110444,3950,0.006858911685615055,0.006882487891919586,0.022350737277451155,0.003272823715468966,0.16383886131993736,0.10454483609982686,0.07391797528156586,FALSE,black,0.5
