Date,Valid_From,Valid_To,Conf_Level,Anchor ,Liq_Group
05/01/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
06/01/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
07/01/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
08/01/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
09/01/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
10/01/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
11/01/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
12/01/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
13/01/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
14/01/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
15/01/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
16/01/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
17/01/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
18/01/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
19/01/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
20/01/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
21/01/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
22/01/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
23/01/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
24/01/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
25/01/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
26/01/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
27/01/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
28/01/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
29/01/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
30/01/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
31/01/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
01/02/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
02/02/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
03/02/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
04/02/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
05/02/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
06/02/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
07/02/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
08/02/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
09/02/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
10/02/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
11/02/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
12/02/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
13/02/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
14/02/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
15/02/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
16/02/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
17/02/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
18/02/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
19/02/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
20/02/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
21/02/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
22/02/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
23/02/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
24/02/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
