FACT_DATE,COLLATERAL_TYPE,SECURITY_TYPE,MARKET_VALUE_EUR,COLLATERAL_VALUE_EUR
19/08/2019,B,BANK BONDS,8299281833,7155971693
19/08/2019,B,CORPORATE BONDS,1801861987,1515642607
19/08/2019,B,SOVEREIGN GOVERNMENT BONDS,21800476668,19000417117
19/08/2019,B,STATE AGENCIES,1608528693,1485475058
19/08/2019,B,STATE/MUNICIPAL BONDS,1772174181,1667629293
19/08/2019,B,null,1854630285,1804762560
19/08/2019,C,null,25708618703,25343694741
19/08/2019,S,STOCKS,727072465,544525794
20/08/2019,B,BANK BONDS,8172233645,7069660353
20/08/2019,B,CORPORATE BONDS,1720010379,1442122443
20/08/2019,B,SOVEREIGN GOVERNMENT BONDS,22492137647,19608412711
20/08/2019,B,STATE AGENCIES,1628299639,1507680543
20/08/2019,B,STATE/MUNICIPAL BONDS,1822616087,1715904333
20/08/2019,B,null,1856842574,1806063005
20/08/2019,C,null,24462199826,24099399426
20/08/2019,S,STOCKS,784670657,588859512
21/08/2019,B,BANK BONDS,8538068711,7407909323
21/08/2019,B,CORPORATE BONDS,1738321825,1457232308
21/08/2019,B,SOVEREIGN GOVERNMENT BONDS,22975015126,19999406591
21/08/2019,B,STATE AGENCIES,1603415816,1486141046
21/08/2019,B,STATE/MUNICIPAL BONDS,2060560811,1941209122
21/08/2019,B,null,1842068548,1793153592
21/08/2019,C,null,23794057063,23443300125
21/08/2019,S,STOCKS,726184662,543832765
22/08/2019,B,BANK BONDS,8244709314,7146955965
22/08/2019,B,CORPORATE BONDS,1716043292,1434547287
22/08/2019,B,SOVEREIGN GOVERNMENT BONDS,22506339219,19591440220
22/08/2019,B,STATE AGENCIES,1747791066,1612815777
22/08/2019,B,STATE/MUNICIPAL BONDS,2252407964,2124865287
22/08/2019,B,null,1894651936,1841177076
22/08/2019,C,null,22608670202,22263597414
22/08/2019,S,STOCKS,732809596,549071276
23/08/2019,B,BANK BONDS,8207927939,7113574258
23/08/2019,B,CORPORATE BONDS,1724036092,1440037647
