FACT_DATE,COLLATERAL_TYPE,SECURITY_TYPE,MARKET_VALUE_EUR,COLLATERAL_VALUE_EUR
09/03/2020,B,STATE/MUNICIPAL BONDS,2566155238,2419078893
09/03/2020,B,null,1799029388,1727111060
09/03/2020,C,null,38780840938,38484762846
09/03/2020,S,STOCKS,987810485,717587930
10/03/2020,B,BANK BONDS,10134866300,8942235816
10/03/2020,B,CORPORATE BONDS,2333446740,2026682346
10/03/2020,B,SOVEREIGN GOVERNMENT BONDS,27252981433,24205701436
10/03/2020,B,STATE AGENCIES,2316294240,2157486254
10/03/2020,B,STATE/MUNICIPAL BONDS,2740371054,2595193210
10/03/2020,B,null,1337489715,1275487841
10/03/2020,C,null,41462637519,41111131864
10/03/2020,S,STOCKS,716593389,510835119
11/03/2020,B,BANK BONDS,10521935497,9273591956
11/03/2020,B,CORPORATE BONDS,2354626216,2042325256
11/03/2020,B,SOVEREIGN GOVERNMENT BONDS,28421533917,25299375436
11/03/2020,B,STATE AGENCIES,2409028969,2246542699
11/03/2020,B,STATE/MUNICIPAL BONDS,2950682067,2785029467
11/03/2020,B,null,1263882465,1206087879
11/03/2020,C,null,41718906419,41373259766
11/03/2020,S,STOCKS,725270918,518821090
12/03/2020,B,BANK BONDS,11053968926,9770932135
12/03/2020,B,CORPORATE BONDS,2373958431,2043656291
12/03/2020,B,SOVEREIGN GOVERNMENT BONDS,28611865079,25464506091
12/03/2020,B,STATE AGENCIES,2686994054,2519105068
12/03/2020,B,STATE/MUNICIPAL BONDS,3340615336,3142383240
12/03/2020,B,null,1168070780,1114920734
12/03/2020,C,null,52998537211,52570312693
12/03/2020,S,STOCKS,716207738,430608897
12/03/2020,S,null,6753743,4389933
13/03/2020,B,BANK BONDS,11325063655,10031570299
13/03/2020,B,CORPORATE BONDS,2358019852,2043849115
13/03/2020,B,SOVEREIGN GOVERNMENT BONDS,30328028177,27157576937
13/03/2020,B,STATE AGENCIES,2751237199,2574849805
13/03/2020,B,STATE/MUNICIPAL BONDS,4060691074,3852695865
13/03/2020,B,null,1164542632,1113150278
13/03/2020,C,null,56579867755,56191113802
13/03/2020,S,STOCKS,670061060,399706651
16/03/2020,B,BANK BONDS,11310342520,10002692832
16/03/2020,B,CORPORATE BONDS,2426493038,2108233910
16/03/2020,B,SOVEREIGN GOVERNMENT BONDS,30750479199,27533007332
16/03/2020,B,STATE AGENCIES,3128331783,2932749493
16/03/2020,B,STATE/MUNICIPAL BONDS,3827697754,3641685894
16/03/2020,B,null,1307724416,1239871700
16/03/2020,C,null,57739216595,57421881287
16/03/2020,S,STOCKS,746269216,433398607
16/03/2020,S,null,589811,367452
17/03/2020,B,BANK BONDS,12222449174,10808804234
17/03/2020,B,CORPORATE BONDS,2375801835,2060221521
17/03/2020,B,SOVEREIGN GOVERNMENT BONDS,30131732339,26989822704
17/03/2020,B,STATE AGENCIES,3028491044,2846648140
17/03/2020,B,STATE/MUNICIPAL BONDS,4010783720,3817912141
17/03/2020,B,null,1048877571,993431878
17/03/2020,C,null,56606715566,56291829214
17/03/2020,S,STOCKS,799885446,466712155
17/03/2020,S,null,576408,361984
18/03/2020,B,BANK BONDS,12205954488,10757831715
18/03/2020,B,CORPORATE BONDS,2400883850,2098201498
18/03/2020,B,SOVEREIGN GOVERNMENT BONDS,30758945798,27648231240
18/03/2020,B,STATE AGENCIES,3219292600,3029884399
18/03/2020,B,STATE/MUNICIPAL BONDS,3989208279,3802718524
18/03/2020,B,null,1134223322,1091471891
18/03/2020,C,null,60294883797,60038231767
18/03/2020,S,STOCKS,773679629,450780075
18/03/2020,S,null,527102,312045
19/03/2020,B,BANK BONDS,12650703752,11218404069
19/03/2020,B,CORPORATE BONDS,2443611313,2136489808
19/03/2020,B,SOVEREIGN GOVERNMENT BONDS,31416652664,28174282584
19/03/2020,B,STATE AGENCIES,3496779947,3299411832
19/03/2020,B,STATE/MUNICIPAL BONDS,3887215619,3702342062
19/03/2020,B,null,1149619761,1097785925
19/03/2020,C,null,57562605253,57299474689
19/03/2020,S,STOCKS,943543904,562777867
19/03/2020,S,null,517969,301976
20/03/2020,B,BANK BONDS,12826482255,11409378408
20/03/2020,B,CORPORATE BONDS,2381961792,2077018649
20/03/2020,B,SOVEREIGN GOVERNMENT BONDS,32272527011,28793015110
20/03/2020,B,STATE AGENCIES,3562645236,3367014285
20/03/2020,B,STATE/MUNICIPAL BONDS,3739340657,3562554442
20/03/2020,B,null,1153465790,1124392764
20/03/2020,C,null,58657214716,58358942153
20/03/2020,S,STOCKS,934470497,555725858
20/03/2020,S,null,571631,310967
23/03/2020,B,BANK BONDS,12252397737,10865531358
23/03/2020,B,CORPORATE BONDS,2558263629,2230288809
23/03/2020,B,SOVEREIGN GOVERNMENT BONDS,31766477493,28349352755
23/03/2020,B,STATE AGENCIES,3443327384,3249986066
23/03/2020,B,STATE/MUNICIPAL BONDS,3867310347,3692190860
23/03/2020,B,null,1184363963,1158630845
23/03/2020,C,null,60798388105,60484796333
23/03/2020,S,STOCKS,978752196,582968262
23/03/2020,S,null,552904,305203
24/03/2020,B,BANK BONDS,11911035505,10586741185
24/03/2020,B,CORPORATE BONDS,2509035648,2187428127
24/03/2020,B,SOVEREIGN GOVERNMENT BONDS,32807197227,29299280350
24/03/2020,B,STATE AGENCIES,3577319706,3377050862
24/03/2020,B,STATE/MUNICIPAL BONDS,4031868286,3839529602
24/03/2020,B,null,1032034375,1040707726
24/03/2020,C,null,59054205833,58719866580
24/03/2020,S,STOCKS,955227072,555931013
24/03/2020,S,null,625448,323357
25/03/2020,B,BANK BONDS,11781617366,10476644834
25/03/2020,B,CORPORATE BONDS,2539226350,2213692164
25/03/2020,B,SOVEREIGN GOVERNMENT BONDS,32268655773,28817532784
25/03/2020,B,STATE AGENCIES,3184383663,2998326015
25/03/2020,B,STATE/MUNICIPAL BONDS,3771541875,3587585937
25/03/2020,B,null,964533041,983652270
25/03/2020,C,null,54602630161,54326130590
25/03/2020,S,STOCKS,968334642,567490409
25/03/2020,S,null,658107,343532
26/03/2020,B,BANK BONDS,11548467527,10257170561
26/03/2020,B,CORPORATE BONDS,2523535610,2241841289
26/03/2020,B,SOVEREIGN GOVERNMENT BONDS,33972637212,30263148216
26/03/2020,B,STATE AGENCIES,3175403342,2990119538
26/03/2020,B,STATE/MUNICIPAL BONDS,3915078224,3733509165
26/03/2020,B,null,944166116,949730506
26/03/2020,C,null,53361769645,53060892935
26/03/2020,S,STOCKS,958549501,563601680
26/03/2020,S,null,681412,359786
27/03/2020,B,BANK BONDS,12335935946,10965952830
27/03/2020,B,CORPORATE BONDS,2484427323,2210857710
27/03/2020,B,SOVEREIGN GOVERNMENT BONDS,36324061958,32339265421
27/03/2020,B,STATE AGENCIES,3386049032,3182535333
27/03/2020,B,STATE/MUNICIPAL BONDS,4379900834,4186571665
27/03/2020,B,null,948873705,965535610
27/03/2020,C,null,53591015495,53305519600
27/03/2020,S,STOCKS,860389979,541097224
27/03/2020,S,null,664108,357954
30/03/2020,B,BANK BONDS,12466707197,11003426190
30/03/2020,B,CORPORATE BONDS,2373901368,2072059085
30/03/2020,B,SOVEREIGN GOVERNMENT BONDS,36237927799,32267931392
30/03/2020,B,STATE AGENCIES,3285356341,3084604948
30/03/2020,B,STATE/MUNICIPAL BONDS,4308740211,4119415109
30/03/2020,B,null,936474347,936530745
30/03/2020,C,null,53240098191,52939390747
30/03/2020,S,STOCKS,730843000,467733036
30/03/2020,S,null,126635,70029
31/03/2020,B,BANK BONDS,12212278915,10737757450
31/03/2020,B,CORPORATE BONDS,2339423840,2037537017
31/03/2020,B,SOVEREIGN GOVERNMENT BONDS,34357632576,30582149428
31/03/2020,B,STATE AGENCIES,3187913478,3012680654
31/03/2020,B,STATE/MUNICIPAL BONDS,4117761352,3920300125
31/03/2020,B,null,760901643,763290568
31/03/2020,C,null,55173224082,54898807861
31/03/2020,S,STOCKS,938350731,618199114
31/03/2020,S,null,124686,70572
01/04/2020,B,BANK BONDS,11867519790,10484599147
01/04/2020,B,CORPORATE BONDS,2348196942,2044788635
01/04/2020,B,SOVEREIGN GOVERNMENT BONDS,35481784662,31685261531
01/04/2020,B,STATE AGENCIES,3163857348,2985853992
01/04/2020,B,STATE/MUNICIPAL BONDS,4236094667,4036420882
01/04/2020,B,null,854609438,847698902
01/04/2020,C,null,54380917316,54096527223
01/04/2020,S,STOCKS,967761486,647202400
02/04/2020,B,BANK BONDS,12182358693,10748481381
02/04/2020,B,CORPORATE BONDS,2360753777,2053273361
02/04/2020,B,SOVEREIGN GOVERNMENT BONDS,37145677551,33124338516
02/04/2020,B,STATE AGENCIES,3240237432,3059822491
02/04/2020,B,STATE/MUNICIPAL BONDS,4361288266,4157633508
02/04/2020,B,null,896604674,889870972
02/04/2020,C,null,51389346939,51130622387
02/04/2020,S,STOCKS,843785702,501052167
03/04/2020,B,BANK BONDS,12286849692,10844201747
03/04/2020,B,CORPORATE BONDS,2457720403,2139308443
03/04/2020,B,SOVEREIGN GOVERNMENT BONDS,36599612923,32589031826
03/04/2020,B,STATE AGENCIES,3241029522,3061439861
03/04/2020,B,STATE/MUNICIPAL BONDS,4333139173,4132417310
03/04/2020,B,null,897926323,889498083
03/04/2020,C,null,48947809405,48722799939
03/04/2020,S,STOCKS,787493437,477933299
06/04/2020,B,BANK BONDS,12482346929,10999610906
06/04/2020,B,CORPORATE BONDS,2497890047,2177700315
06/04/2020,B,SOVEREIGN GOVERNMENT BONDS,37419255003,33258209776
06/04/2020,B,STATE AGENCIES,3013239579,2846587937
06/04/2020,B,STATE/MUNICIPAL BONDS,4410907530,4207457003
06/04/2020,B,null,843146596,784421394
06/04/2020,C,null,50993347316,50754025203
06/04/2020,S,STOCKS,755181465,467625633
07/04/2020,B,BANK BONDS,12036463210,10605105437
07/04/2020,B,CORPORATE BONDS,2486600328,2173243252
07/04/2020,B,SOVEREIGN GOVERNMENT BONDS,38144593409,33863547696
07/04/2020,B,STATE AGENCIES,3049522103,2880346140
07/04/2020,B,STATE/MUNICIPAL BONDS,4064673904,3868571659
07/04/2020,B,null,770378024,712288716
07/04/2020,C,null,50909212217,50673058689
07/04/2020,S,STOCKS,772439092,479783264
08/04/2020,B,BANK BONDS,12070500720,9639562878
08/04/2020,B,CORPORATE BONDS,2460517397,1968192193
08/04/2020,B,SOVEREIGN GOVERNMENT BONDS,39310473815,34424624757
08/04/2020,B,STATE AGENCIES,3014864703,2797301352
08/04/2020,B,STATE/MUNICIPAL BONDS,4071414264,3813177584
08/04/2020,B,null,714986404,656839914
08/04/2020,C,null,49618382209,49365860492
08/04/2020,S,STOCKS,829316694,514119140
09/04/2020,B,BANK BONDS,12615714903,10066402630
09/04/2020,B,CORPORATE BONDS,2477656815,1980059646
09/04/2020,B,SOVEREIGN GOVERNMENT BONDS,40889426703,35822004083
09/04/2020,B,STATE AGENCIES,3136971343,2910542721
09/04/2020,B,STATE/MUNICIPAL BONDS,4160440061,3951570711
09/04/2020,B,null,755482153,697441086
09/04/2020,C,null,49608049704,49348623908
09/04/2020,S,STOCKS,722396023,444218081
14/04/2020,B,BANK BONDS,12541036772,10013430536
14/04/2020,B,CORPORATE BONDS,2511491759,2004310191
14/04/2020,B,SOVEREIGN GOVERNMENT BONDS,40221794126,35135396041
14/04/2020,B,STATE AGENCIES,3173652977,2938251674
14/04/2020,B,STATE/MUNICIPAL BONDS,4059150293,3854668503
14/04/2020,B,null,840388009,789220706
14/04/2020,C,null,49094749818,48855138142
14/04/2020,S,STOCKS,637306226,437782269
15/04/2020,B,BANK BONDS,11884146718,9449210790
15/04/2020,B,CORPORATE BONDS,2531671311,2021817518
15/04/2020,B,SOVEREIGN GOVERNMENT BONDS,40355097451,35258974409
15/04/2020,B,STATE AGENCIES,3178470321,2943435798
15/04/2020,B,STATE/MUNICIPAL BONDS,4255980972,4043668369
15/04/2020,B,null,773823816,719075922
15/04/2020,C,null,50229734990,49969954466
15/04/2020,S,STOCKS,604851101,407461736
16/04/2020,B,BANK BONDS,12248772484,9738837371
16/04/2020,B,CORPORATE BONDS,2551932719,2026998950
16/04/2020,B,SOVEREIGN GOVERNMENT BONDS,40681195575,35469816260
16/04/2020,B,STATE AGENCIES,2972805582,2747096402
16/04/2020,B,STATE/MUNICIPAL BONDS,4370720270,4156225758
16/04/2020,B,null,831776082,774972144
16/04/2020,C,null,48485926343,48262243207
16/04/2020,S,STOCKS,603819757,414440421
17/04/2020,B,BANK BONDS,12324739424,9792811386
17/04/2020,B,CORPORATE BONDS,2524103464,2008765665
17/04/2020,B,SOVEREIGN GOVERNMENT BONDS,40720424892,35508044640
17/04/2020,B,STATE AGENCIES,2974599361,2749688787
17/04/2020,B,STATE/MUNICIPAL BONDS,4348108354,4135345265
17/04/2020,B,null,815404108,759427243
17/04/2020,C,null,49235855814,48999710114
17/04/2020,S,STOCKS,968705381,637359526
20/04/2020,B,BANK BONDS,12291341684,9731069303
20/04/2020,B,CORPORATE BONDS,2538753256,2025414766
20/04/2020,B,SOVEREIGN GOVERNMENT BONDS,41336873750,35971077887
20/04/2020,B,STATE AGENCIES,3049737992,2819427360
20/04/2020,B,STATE/MUNICIPAL BONDS,4578517575,4353495925
20/04/2020,B,null,820612278,764595827
20/04/2020,C,null,48218542804,47995307476
20/04/2020,S,STOCKS,960222443,637214372
21/04/2020,B,BANK BONDS,12215221090,9671168442
21/04/2020,B,CORPORATE BONDS,2448830497,1940547992
21/04/2020,B,SOVEREIGN GOVERNMENT BONDS,41917086448,36553890258
21/04/2020,B,STATE AGENCIES,2932165745,2706925896
21/04/2020,B,STATE/MUNICIPAL BONDS,4545794279,4325437583
21/04/2020,B,null,990645384,924593253
21/04/2020,C,null,47809820538,47574632729
21/04/2020,S,STOCKS,906819377,605675660
22/04/2020,B,BANK BONDS,12652803928,10047958484
22/04/2020,B,CORPORATE BONDS,2507377703,2000240173
22/04/2020,B,SOVEREIGN GOVERNMENT BONDS,40818778315,35617912142
22/04/2020,B,STATE AGENCIES,2963430077,2729502563
22/04/2020,B,STATE/MUNICIPAL BONDS,4814839148,4590180833
22/04/2020,B,null,1134999662,1075403009
22/04/2020,C,null,45703196744,45482064545
22/04/2020,S,STOCKS,841895933,564250031
22/04/2020,S,null,155758,103268
23/04/2020,B,BANK BONDS,12585027413,10002986030
23/04/2020,B,CORPORATE BONDS,2529484439,2019954339
23/04/2020,B,SOVEREIGN GOVERNMENT BONDS,41083718540,35696031598
23/04/2020,B,STATE AGENCIES,2932387285,2701117644
23/04/2020,B,STATE/MUNICIPAL BONDS,4643407353,4423284981
23/04/2020,B,null,1057899572,990016000
23/04/2020,C,null,46121432482,45904634725
23/04/2020,S,STOCKS,790076349,536732752
23/04/2020,S,null,121118,81391
24/04/2020,B,BANK BONDS,12302113541,9755216433
24/04/2020,B,CORPORATE BONDS,2620775230,2100309234
24/04/2020,B,SOVEREIGN GOVERNMENT BONDS,41314552878,36003144023
24/04/2020,B,STATE AGENCIES,2812410047,2594364034
24/04/2020,B,STATE/MUNICIPAL BONDS,4612113424,4390792779
24/04/2020,B,null,1448343664,1381200543
24/04/2020,C,null,45890290162,45663426790
24/04/2020,S,STOCKS,831051167,566233561
27/04/2020,B,BANK BONDS,12600141212,9990829837
27/04/2020,B,CORPORATE BONDS,2590964772,2074364152
27/04/2020,B,SOVEREIGN GOVERNMENT BONDS,41723403107,36258770700
27/04/2020,B,STATE AGENCIES,2753409627,2534610839
27/04/2020,B,STATE/MUNICIPAL BONDS,4577840022,4359741649
27/04/2020,B,null,1369336063,1311549547
27/04/2020,C,null,47038811657,46814849814
27/04/2020,S,STOCKS,750741251,517872501
28/04/2020,B,BANK BONDS,12510668548,9895460311
28/04/2020,B,CORPORATE BONDS,2545263939,2028986768
28/04/2020,B,SOVEREIGN GOVERNMENT BONDS,41250926034,35853971693
28/04/2020,B,STATE AGENCIES,2960261975,2730919676
28/04/2020,B,STATE/MUNICIPAL BONDS,4753848093,4532777922
28/04/2020,B,null,1155160152,1099388242
28/04/2020,C,null,45891987868,45706134558
28/04/2020,S,STOCKS,881735250,614420695
29/04/2020,B,BANK BONDS,12236963911,9683552735
29/04/2020,B,CORPORATE BONDS,2524509692,2008866225
29/04/2020,B,SOVEREIGN GOVERNMENT BONDS,41455717645,36019886315
29/04/2020,B,STATE AGENCIES,3020544012,2783025193
29/04/2020,B,STATE/MUNICIPAL BONDS,4754925925,4534750740
29/04/2020,B,null,1146278853,1092742229
29/04/2020,C,null,45944476248,45717133053
29/04/2020,S,STOCKS,781705323,538256294
30/04/2020,B,BANK BONDS,11980394609,9506249274
30/04/2020,B,CORPORATE BONDS,2518584730,2007372349
30/04/2020,B,SOVEREIGN GOVERNMENT BONDS,40556484889,35083626360
30/04/2020,B,STATE AGENCIES,2847356331,2604608597
30/04/2020,B,STATE/MUNICIPAL BONDS,4532936583,4318380021
30/04/2020,B,null,1150133510,1073336252
30/04/2020,C,null,46541887003,46323796654
30/04/2020,S,STOCKS,1033073616,700745706
30/04/2020,S,null,58445,41788
04/05/2020,B,BANK BONDS,11760694991,9318205630
04/05/2020,B,CORPORATE BONDS,2480445659,1968960801
04/05/2020,B,SOVEREIGN GOVERNMENT BONDS,41235479549,35624909033
04/05/2020,B,STATE AGENCIES,2707676951,2491336047
04/05/2020,B,STATE/MUNICIPAL BONDS,4320070066,4106386149
04/05/2020,B,null,1775221157,1705464295
04/05/2020,C,null,47483564643,47308863906
04/05/2020,S,STOCKS,1011584543,686560892
04/05/2020,S,null,21251470,15322310
05/05/2020,B,BANK BONDS,11963922349,9486234254
05/05/2020,B,CORPORATE BONDS,2493061081,1981360663
05/05/2020,B,SOVEREIGN GOVERNMENT BONDS,40337077465,34784515196
05/05/2020,B,STATE AGENCIES,2981588210,2738390971
05/05/2020,B,STATE/MUNICIPAL BONDS,4416150693,4198138581
05/05/2020,B,null,1765755578,1695548219
05/05/2020,C,null,46727150381,46496852823
05/05/2020,S,STOCKS,816763439,550792276
05/05/2020,S,null,21234600,15501258
06/05/2020,B,BANK BONDS,11678622829,9260884259
06/05/2020,B,CORPORATE BONDS,2498810991,1990793156
06/05/2020,B,SOVEREIGN GOVERNMENT BONDS,40401814361,34997167774
06/05/2020,B,STATE AGENCIES,3005254042,2768040967
06/05/2020,B,STATE/MUNICIPAL BONDS,4485464968,4264560802
06/05/2020,B,null,1998658699,1927894111
06/05/2020,C,null,45536345077,45335719764
06/05/2020,S,STOCKS,791640877,540059586
06/05/2020,S,null,20374500,14791887
07/05/2020,B,BANK BONDS,11729364501,9278451613
07/05/2020,B,CORPORATE BONDS,2444839532,1946001290
07/05/2020,B,SOVEREIGN GOVERNMENT BONDS,39861089467,34687204579
07/05/2020,B,STATE AGENCIES,3062656978,2823213580
07/05/2020,B,STATE/MUNICIPAL BONDS,4562023594,4338585146
07/05/2020,B,null,2103267256,2024245160
07/05/2020,C,null,45552585548,45357452103
07/05/2020,S,STOCKS,821899769,565193328
07/05/2020,S,null,20804550,15208126
08/05/2020,B,BANK BONDS,11680249350,9246087055
08/05/2020,B,CORPORATE BONDS,2329521333,1850252879
08/05/2020,B,SOVEREIGN GOVERNMENT BONDS,39880947841,34656598129
08/05/2020,B,STATE AGENCIES,3126055241,2881876188
08/05/2020,B,STATE/MUNICIPAL BONDS,4536634260,4314694054
08/05/2020,B,null,1994135455,1922733580
08/05/2020,C,null,45023351219,44842204238
08/05/2020,S,SPECIFIC EQUITY COLLATERAL,21032500,15521985
08/05/2020,S,STOCKS,788911445,548587043
11/05/2020,B,BANK BONDS,11605751558,9181599679
11/05/2020,B,CORPORATE BONDS,2317659367,1842373917
11/05/2020,B,SOVEREIGN GOVERNMENT BONDS,39534504409,34434474469
11/05/2020,B,STATE AGENCIES,3096983639,2857681288
11/05/2020,B,STATE/MUNICIPAL BONDS,4451510905,4232449697
11/05/2020,B,null,1891585008,1822085204
11/05/2020,C,null,45120147317,44933044625
11/05/2020,S,SPECIFIC EQUITY COLLATERAL,20644750,15359694
11/05/2020,S,STOCKS,777030910,555741380
12/05/2020,B,BANK BONDS,12049653993,9517206833
12/05/2020,B,CORPORATE BONDS,2304035437,1830234650
12/05/2020,B,SOVEREIGN GOVERNMENT BONDS,40214663325,35007540798
12/05/2020,B,STATE AGENCIES,3054671817,2820939379
12/05/2020,B,STATE/MUNICIPAL BONDS,4085668273,3884700574
12/05/2020,B,null,1932114011,1872490920
12/05/2020,C,null,44804859000,44619637010
12/05/2020,S,SPECIFIC EQUITY COLLATERAL,20635693,15497406
12/05/2020,S,STOCKS,876759575,632056260
13/05/2020,B,BANK BONDS,12067036475,9533033561
13/05/2020,B,CORPORATE BONDS,2304377906,1828818599
13/05/2020,B,SOVEREIGN GOVERNMENT BONDS,40351420166,35052009004
13/05/2020,B,STATE AGENCIES,3041212771,2811853477
13/05/2020,B,STATE/MUNICIPAL BONDS,4151592634,3948085135
13/05/2020,B,null,2043295869,1981116366
13/05/2020,C,null,44707721654,44507038396
13/05/2020,S,SPECIFIC EQUITY COLLATERAL,19988726,15011533
13/05/2020,S,STOCKS,835828298,605404716
14/05/2020,B,BANK BONDS,12109858201,9559774227
14/05/2020,B,CORPORATE BONDS,2327164595,1849068609
14/05/2020,B,SOVEREIGN GOVERNMENT BONDS,39850010262,34559067335
14/05/2020,B,STATE AGENCIES,3112365488,2872251773
14/05/2020,B,STATE/MUNICIPAL BONDS,4063453840,3787909104
14/05/2020,B,null,1882035080,1814779802
14/05/2020,C,null,45557321144,45352951196
14/05/2020,S,SPECIFIC EQUITY COLLATERAL,19521450,14758216
14/05/2020,S,STOCKS,808774979,588409394
15/05/2020,B,BANK BONDS,12346816490,9776959063
15/05/2020,B,CORPORATE BONDS,2328887202,1852548579
15/05/2020,B,SOVEREIGN GOVERNMENT BONDS,39561158903,34320381889
15/05/2020,B,STATE AGENCIES,3093931708,2852674511
15/05/2020,B,STATE/MUNICIPAL BONDS,4130358992,3922624093
15/05/2020,B,null,1973647295,1890078742
15/05/2020,C,null,44717162104,44531373213
15/05/2020,S,SPECIFIC EQUITY COLLATERAL,19333450,14751422
15/05/2020,S,STOCKS,731960742,543209269
18/05/2020,B,BANK BONDS,12209216664,9678931150
18/05/2020,B,CORPORATE BONDS,2328883036,1853759965
18/05/2020,B,SOVEREIGN GOVERNMENT BONDS,40047319093,34746047389
18/05/2020,B,STATE AGENCIES,3126996951,2882797425
18/05/2020,B,STATE/MUNICIPAL BONDS,4349660118,4132804787
18/05/2020,B,null,1557849003,1518568862
18/05/2020,C,null,48159538297,47912281435
18/05/2020,S,SPECIFIC EQUITY COLLATERAL,20200600,15231252
18/05/2020,S,STOCKS,866863262,646308439
19/05/2020,B,BANK BONDS,11852008740,9278340003
19/05/2020,B,CORPORATE BONDS,2309092321,1837820999
19/05/2020,B,SOVEREIGN GOVERNMENT BONDS,39502586212,34339045347
19/05/2020,B,STATE AGENCIES,3115378862,2875014264
19/05/2020,B,STATE/MUNICIPAL BONDS,4203762411,3994963729
19/05/2020,B,null,1687158458,1633048623
19/05/2020,C,null,45347711508,45172617680
19/05/2020,S,SPECIFIC EQUITY COLLATERAL,25417288,19240887
19/05/2020,S,STOCKS,836332748,624412146
20/05/2020,B,BANK BONDS,11994088162,9490804251
20/05/2020,B,CORPORATE BONDS,2331566494,1857398269
20/05/2020,B,SOVEREIGN GOVERNMENT BONDS,39021772277,34019004781
20/05/2020,B,STATE AGENCIES,3099410608,2859729845
20/05/2020,B,STATE/MUNICIPAL BONDS,4244134604,4031357327
20/05/2020,B,null,1603850374,1564835941
20/05/2020,C,null,44632404982,44452448242
20/05/2020,S,SPECIFIC EQUITY COLLATERAL,25185812,19241960
20/05/2020,S,STOCKS,780742474,582380136
21/05/2020,B,BANK BONDS,12029966668,9521822192
21/05/2020,B,CORPORATE BONDS,2368713374,1885192615
21/05/2020,B,SOVEREIGN GOVERNMENT BONDS,38882607887,33919197754
21/05/2020,B,STATE AGENCIES,3006620694,2769431676
21/05/2020,B,STATE/MUNICIPAL BONDS,4224269620,4014924065
21/05/2020,B,null,1450120560,1426962506
21/05/2020,C,null,43830024555,43653154825
21/05/2020,S,SPECIFIC EQUITY COLLATERAL,20362750,15658955
21/05/2020,S,STOCKS,727909496,542666106
22/05/2020,B,BANK BONDS,12055795444,9533445283
22/05/2020,B,CORPORATE BONDS,2361681143,1878246898
22/05/2020,B,SOVEREIGN GOVERNMENT BONDS,38869437611,33863952845
22/05/2020,B,STATE AGENCIES,3000795005,2764156730
22/05/2020,B,STATE/MUNICIPAL BONDS,4294503770,4082257190
22/05/2020,B,null,1440100830,1418396354
22/05/2020,C,null,43349748171,43173251999
22/05/2020,S,SPECIFIC EQUITY COLLATERAL,19876300,15284875
22/05/2020,S,STOCKS,733166443,547150838
25/05/2020,B,BANK BONDS,12030940136,9507098802
25/05/2020,B,CORPORATE BONDS,2365550266,1885092068
25/05/2020,B,SOVEREIGN GOVERNMENT BONDS,38647514006,33661945645
25/05/2020,B,STATE AGENCIES,2988838162,2701652733
25/05/2020,B,STATE/MUNICIPAL BONDS,4330122152,4116689346
25/05/2020,B,null,1422667294,1400564895
25/05/2020,C,null,42644958537,42467174409
25/05/2020,S,SPECIFIC EQUITY COLLATERAL,20301650,15611969
25/05/2020,S,STOCKS,780438731,581328017
26/05/2020,B,BANK BONDS,11806102214,9323335827
26/05/2020,B,CORPORATE BONDS,2369061958,1889859303
26/05/2020,B,SOVEREIGN GOVERNMENT BONDS,38999324407,33984936109
26/05/2020,B,STATE AGENCIES,2832166637,2601750779
26/05/2020,B,STATE/MUNICIPAL BONDS,4229586386,4019562129
26/05/2020,B,null,1557727520,1514598920
26/05/2020,C,null,42428124175,42243169491
26/05/2020,S,SPECIFIC EQUITY COLLATERAL,21084200,16213750
26/05/2020,S,STOCKS,750099278,559513008
27/05/2020,B,BANK BONDS,11667244465,9184605471
27/05/2020,B,CORPORATE BONDS,2416364736,1926384742
27/05/2020,B,SOVEREIGN GOVERNMENT BONDS,38138720775,33179432876
27/05/2020,B,STATE AGENCIES,2805158829,2576551630
27/05/2020,B,STATE/MUNICIPAL BONDS,4012153338,3814633144
27/05/2020,B,null,1434351235,1411730531
27/05/2020,C,null,42290421553,42122694038
27/05/2020,S,SPECIFIC EQUITY COLLATERAL,21977200,16768604
27/05/2020,S,STOCKS,728340174,544107078
28/05/2020,B,BANK BONDS,11877392864,9286317366
28/05/2020,B,CORPORATE BONDS,2403903330,1911069422
28/05/2020,B,SOVEREIGN GOVERNMENT BONDS,38128198343,33170087027
28/05/2020,B,STATE AGENCIES,2865328265,2634807609
28/05/2020,B,STATE/MUNICIPAL BONDS,4044355252,3846282072
28/05/2020,B,null,1433522301,1409833353
28/05/2020,C,null,42385692867,42208737607
28/05/2020,S,SPECIFIC EQUITY COLLATERAL,22604650,17269953
28/05/2020,S,STOCKS,740010834,553699555
29/05/2020,B,BANK BONDS,11684216342,9194998133
29/05/2020,B,CORPORATE BONDS,2412192710,1917794351
29/05/2020,B,SOVEREIGN GOVERNMENT BONDS,38364795366,33288356395
29/05/2020,B,STATE AGENCIES,2817012060,2594853063
29/05/2020,B,STATE/MUNICIPAL BONDS,3983448076,3787203896
29/05/2020,B,null,1462773204,1437374047
29/05/2020,C,null,41477803052,41317145626
29/05/2020,S,SPECIFIC EQUITY COLLATERAL,22071200,16906539
29/05/2020,S,STOCKS,730262884,546042737
01/06/2020,B,BANK BONDS,11880676268,8926319546
01/06/2020,B,CORPORATE BONDS,2352407610,1808189409
01/06/2020,B,SOVEREIGN GOVERNMENT BONDS,38063655242,31803078847
01/06/2020,B,STATE AGENCIES,2842702672,2567037564
01/06/2020,B,STATE/MUNICIPAL BONDS,4179699199,3938120993
01/06/2020,B,null,1267063110,1242757136
01/06/2020,C,null,40832509430,40666777157
