FACT_DATE,PRODUCT_GROUP,IM_EUR,MEMBER_TYPE
07/08/2019,FX DERIVATIVES,1313570,CLIENT
07/08/2019,GC POOLING,431727365,CLIENT
07/08/2019,GC POOLING,2701924341,HOUSE
07/08/2019,OTC IRS,5157459212,CLIENT
07/08/2019,OTC IRS,3840898332,HOUSE
07/08/2019,PRECIOUS METALS DERIVATIVES,5126191,CLIENT
07/08/2019,PRECIOUS METALS DERIVATIVES,12275082,HOUSE
07/08/2019,SUPPLEMENTARY MARGINS,1880890564,CLIENT
07/08/2019,SUPPLEMENTARY MARGINS,944232173,HOUSE
08/08/2019,ASIA COOPERATION PRODUCTS,3119449,CLIENT
08/08/2019,"CASH, REPO, SECLEND BOND",27178613,CLIENT
08/08/2019,"CASH, REPO, SECLEND BOND",1392019837,HOUSE
08/08/2019,"CASH, REPO, SECLEND EQUITY",854651649,CLIENT
08/08/2019,"CASH, REPO, SECLEND EQUITY",493763276,HOUSE
08/08/2019,COMMODITY DERIVATIVES,8918036,CLIENT
08/08/2019,COMMODITY DERIVATIVES,7446476,HOUSE
08/08/2019,CORPORATE BOND LIQUIDATION GROUP,37478,CLIENT
08/08/2019,EQUITY DERIVATIVES,11800375383,CLIENT
08/08/2019,EQUITY DERIVATIVES,6129541103,HOUSE
08/08/2019,FIXED INCOME DERIVATIVES,7741489280,CLIENT
08/08/2019,FIXED INCOME DERIVATIVES,605846421,HOUSE
08/08/2019,FIXED INCOME DERIVATIVES ETF,16364911,CLIENT
08/08/2019,FIXED INCOME DERIVATIVES ETF,1409264,HOUSE
08/08/2019,FX DERIVATIVES,1271761,CLIENT
08/08/2019,GC POOLING,406133621,CLIENT
08/08/2019,GC POOLING,2829967313,HOUSE
08/08/2019,OTC IRS,5197526685,CLIENT
08/08/2019,OTC IRS,3814139040,HOUSE
08/08/2019,PRECIOUS METALS DERIVATIVES,5095656,CLIENT
08/08/2019,PRECIOUS METALS DERIVATIVES,12669376,HOUSE
08/08/2019,SUPPLEMENTARY MARGINS,1880890564,CLIENT
08/08/2019,SUPPLEMENTARY MARGINS,994732173,HOUSE
09/08/2019,ASIA COOPERATION PRODUCTS,1588347,CLIENT
09/08/2019,"CASH, REPO, SECLEND BOND",26992903,CLIENT
09/08/2019,"CASH, REPO, SECLEND BOND",1420009009,HOUSE
09/08/2019,"CASH, REPO, SECLEND EQUITY",833151384,CLIENT
09/08/2019,"CASH, REPO, SECLEND EQUITY",462347743,HOUSE
09/08/2019,COMMODITY DERIVATIVES,2028129,CLIENT
09/08/2019,COMMODITY DERIVATIVES,1624030,HOUSE
09/08/2019,CORPORATE BOND LIQUIDATION GROUP,37495,CLIENT
09/08/2019,EQUITY DERIVATIVES,11739849827,CLIENT
09/08/2019,EQUITY DERIVATIVES,6075244000,HOUSE
09/08/2019,FIXED INCOME DERIVATIVES,7745666542,CLIENT
09/08/2019,FIXED INCOME DERIVATIVES,611097111,HOUSE
09/08/2019,FIXED INCOME DERIVATIVES ETF,16285683,CLIENT
09/08/2019,FIXED INCOME DERIVATIVES ETF,1574844,HOUSE
09/08/2019,FX DERIVATIVES,1137840,CLIENT
09/08/2019,GC POOLING,418324791,CLIENT
09/08/2019,GC POOLING,2717018638,HOUSE
09/08/2019,OTC IRS,5207422733,CLIENT
09/08/2019,OTC IRS,3821802044,HOUSE
09/08/2019,PRECIOUS METALS DERIVATIVES,5140864,CLIENT
09/08/2019,PRECIOUS METALS DERIVATIVES,12430613,HOUSE
09/08/2019,SUPPLEMENTARY MARGINS,1893717532,CLIENT
09/08/2019,SUPPLEMENTARY MARGINS,1010986557,HOUSE
12/08/2019,ASIA COOPERATION PRODUCTS,6113521,CLIENT
12/08/2019,"CASH, REPO, SECLEND BOND",26616987,CLIENT
12/08/2019,"CASH, REPO, SECLEND BOND",1382334823,HOUSE
12/08/2019,"CASH, REPO, SECLEND EQUITY",730606122,CLIENT
12/08/2019,"CASH, REPO, SECLEND EQUITY",421573846,HOUSE
12/08/2019,COMMODITY DERIVATIVES,2020721,CLIENT
12/08/2019,COMMODITY DERIVATIVES,1623691,HOUSE
12/08/2019,CORPORATE BOND LIQUIDATION GROUP,37413,CLIENT
12/08/2019,EQUITY DERIVATIVES,11739252655,CLIENT
12/08/2019,EQUITY DERIVATIVES,6049502097,HOUSE
12/08/2019,FIXED INCOME DERIVATIVES,7955697382,CLIENT
12/08/2019,FIXED INCOME DERIVATIVES,618441842,HOUSE
12/08/2019,FIXED INCOME DERIVATIVES ETF,15960485,CLIENT
12/08/2019,FIXED INCOME DERIVATIVES ETF,1366681,HOUSE
12/08/2019,FX DERIVATIVES,1230345,CLIENT
12/08/2019,GC POOLING,402424257,CLIENT
12/08/2019,GC POOLING,2764440167,HOUSE
12/08/2019,OTC IRS,5220841974,CLIENT
12/08/2019,OTC IRS,3843149059,HOUSE
12/08/2019,PRECIOUS METALS DERIVATIVES,5607244,CLIENT
12/08/2019,PRECIOUS METALS DERIVATIVES,13176242,HOUSE
12/08/2019,SUPPLEMENTARY MARGINS,2044593360,CLIENT
12/08/2019,SUPPLEMENTARY MARGINS,969260566,HOUSE
13/08/2019,ASIA COOPERATION PRODUCTS,3736494,CLIENT
13/08/2019,"CASH, REPO, SECLEND BOND",27375940,CLIENT
13/08/2019,"CASH, REPO, SECLEND BOND",1389843294,HOUSE
13/08/2019,"CASH, REPO, SECLEND EQUITY",689041193,CLIENT
13/08/2019,"CASH, REPO, SECLEND EQUITY",434829653,HOUSE
13/08/2019,COMMODITY DERIVATIVES,2059532,CLIENT
13/08/2019,COMMODITY DERIVATIVES,1666302,HOUSE
13/08/2019,CORPORATE BOND LIQUIDATION GROUP,37406,CLIENT
13/08/2019,EQUITY DERIVATIVES,11782275217,CLIENT
13/08/2019,EQUITY DERIVATIVES,6082860632,HOUSE
13/08/2019,FIXED INCOME DERIVATIVES,8078632417,CLIENT
13/08/2019,FIXED INCOME DERIVATIVES,626065980,HOUSE
13/08/2019,FIXED INCOME DERIVATIVES ETF,15887594,CLIENT
13/08/2019,FIXED INCOME DERIVATIVES ETF,1312361,HOUSE
13/08/2019,FX DERIVATIVES,922738,CLIENT
13/08/2019,GC POOLING,393962438,CLIENT
13/08/2019,GC POOLING,2622261938,HOUSE
13/08/2019,OTC IRS,5249747901,CLIENT
13/08/2019,OTC IRS,3873864184,HOUSE
13/08/2019,PRECIOUS METALS DERIVATIVES,5147264,CLIENT
13/08/2019,PRECIOUS METALS DERIVATIVES,7976319,HOUSE
13/08/2019,SUPPLEMENTARY MARGINS,2044593360,CLIENT
13/08/2019,SUPPLEMENTARY MARGINS,999760566,HOUSE
14/08/2019,ASIA COOPERATION PRODUCTS,6950242,CLIENT
14/08/2019,"CASH, REPO, SECLEND BOND",27313728,CLIENT
14/08/2019,"CASH, REPO, SECLEND BOND",1364466079,HOUSE
14/08/2019,"CASH, REPO, SECLEND EQUITY",723602595,CLIENT
14/08/2019,"CASH, REPO, SECLEND EQUITY",458872012,HOUSE
14/08/2019,COMMODITY DERIVATIVES,2039618,CLIENT
14/08/2019,COMMODITY DERIVATIVES,1648175,HOUSE
14/08/2019,CORPORATE BOND LIQUIDATION GROUP,37367,CLIENT
14/08/2019,EQUITY DERIVATIVES,11723188110,CLIENT
14/08/2019,EQUITY DERIVATIVES,6209041885,HOUSE
14/08/2019,FIXED INCOME DERIVATIVES,8131763933,CLIENT
14/08/2019,FIXED INCOME DERIVATIVES,626396130,HOUSE
14/08/2019,FIXED INCOME DERIVATIVES ETF,15849917,CLIENT
14/08/2019,FIXED INCOME DERIVATIVES ETF,1508138,HOUSE
14/08/2019,FX DERIVATIVES,991272,CLIENT
14/08/2019,GC POOLING,402992714,CLIENT
14/08/2019,GC POOLING,2710643278,HOUSE
14/08/2019,OTC IRS,5367276237,CLIENT
14/08/2019,OTC IRS,3991728541,HOUSE
14/08/2019,PRECIOUS METALS DERIVATIVES,5370718,CLIENT
14/08/2019,PRECIOUS METALS DERIVATIVES,8149659,HOUSE
14/08/2019,SUPPLEMENTARY MARGINS,2044593360,CLIENT
14/08/2019,SUPPLEMENTARY MARGINS,1025260566,HOUSE
15/08/2019,ASIA COOPERATION PRODUCTS,6950242,CLIENT
15/08/2019,"CASH, REPO, SECLEND BOND",26863500,CLIENT
15/08/2019,"CASH, REPO, SECLEND BOND",1363295074,HOUSE
15/08/2019,"CASH, REPO, SECLEND EQUITY",762122388,CLIENT
15/08/2019,"CASH, REPO, SECLEND EQUITY",476698914,HOUSE
15/08/2019,COMMODITY DERIVATIVES,2060841,CLIENT
15/08/2019,COMMODITY DERIVATIVES,1664612,HOUSE
15/08/2019,CORPORATE BOND LIQUIDATION GROUP,37429,CLIENT
15/08/2019,EQUITY DERIVATIVES,12007206550,CLIENT
15/08/2019,EQUITY DERIVATIVES,6323622606,HOUSE
15/08/2019,FIXED INCOME DERIVATIVES,8245704621,CLIENT
15/08/2019,FIXED INCOME DERIVATIVES,643932286,HOUSE
15/08/2019,FIXED INCOME DERIVATIVES ETF,15764634,CLIENT
15/08/2019,FIXED INCOME DERIVATIVES ETF,1392455,HOUSE
15/08/2019,FX DERIVATIVES,889219,CLIENT
15/08/2019,GC POOLING,421657157,CLIENT
15/08/2019,GC POOLING,2883496874,HOUSE
15/08/2019,OTC IRS,5504113632,CLIENT
15/08/2019,OTC IRS,4088657413,HOUSE
15/08/2019,PRECIOUS METALS DERIVATIVES,5962501,CLIENT
15/08/2019,PRECIOUS METALS DERIVATIVES,9641066,HOUSE
15/08/2019,SUPPLEMENTARY MARGINS,2044593360,CLIENT
15/08/2019,SUPPLEMENTARY MARGINS,1043260566,HOUSE
16/08/2019,ASIA COOPERATION PRODUCTS,3945293,CLIENT
16/08/2019,"CASH, REPO, SECLEND BOND",26258778,CLIENT
16/08/2019,"CASH, REPO, SECLEND BOND",1374850617,HOUSE
16/08/2019,"CASH, REPO, SECLEND EQUITY",963891367,CLIENT
16/08/2019,"CASH, REPO, SECLEND EQUITY",618643029,HOUSE
16/08/2019,COMMODITY DERIVATIVES,2065930,CLIENT
16/08/2019,COMMODITY DERIVATIVES,1669077,HOUSE
16/08/2019,CORPORATE BOND LIQUIDATION GROUP,37418,CLIENT
16/08/2019,EQUITY DERIVATIVES,11920823596,CLIENT
16/08/2019,EQUITY DERIVATIVES,6298903750,HOUSE
16/08/2019,FIXED INCOME DERIVATIVES,8178614193,CLIENT
16/08/2019,FIXED INCOME DERIVATIVES,640096360,HOUSE
16/08/2019,FIXED INCOME DERIVATIVES ETF,15732968,CLIENT
16/08/2019,FIXED INCOME DERIVATIVES ETF,1193239,HOUSE
16/08/2019,FX DERIVATIVES,906066,CLIENT
16/08/2019,GC POOLING,417955708,CLIENT
16/08/2019,GC POOLING,2465637830,HOUSE
16/08/2019,OTC IRS,5580043548,CLIENT
16/08/2019,OTC IRS,4160984488,HOUSE
16/08/2019,PRECIOUS METALS DERIVATIVES,8813000,CLIENT
16/08/2019,PRECIOUS METALS DERIVATIVES,21657088,HOUSE
16/08/2019,SUPPLEMENTARY MARGINS,2026576845,CLIENT
16/08/2019,SUPPLEMENTARY MARGINS,966953838,HOUSE
19/08/2019,ASIA COOPERATION PRODUCTS,1211559,CLIENT
19/08/2019,"CASH, REPO, SECLEND BOND",25520891,CLIENT
19/08/2019,"CASH, REPO, SECLEND BOND",1282747709,HOUSE
19/08/2019,"CASH, REPO, SECLEND EQUITY",906045910,CLIENT
19/08/2019,"CASH, REPO, SECLEND EQUITY",600231002,HOUSE
19/08/2019,COMMODITY DERIVATIVES,2065264,CLIENT
19/08/2019,COMMODITY DERIVATIVES,1668480,HOUSE
19/08/2019,CORPORATE BOND LIQUIDATION GROUP,37376,CLIENT
19/08/2019,EQUITY DERIVATIVES,11966890645,CLIENT
