FACT_DATE,VOLUME,N_CALLS,TYPE
17/12/2020,18500000,1,Market Movement
18/12/2020,496915939.3,10,Change of Positions
18/12/2020,38484349.03,3,Market Movement
21/12/2020,461704468.9,15,Change of Positions
21/12/2020,592500000,13,Market Movement
22/12/2020,183448525.2,3,Change of Positions
22/12/2020,101107732.8,4,Market Movement
23/12/2020,82500000,4,Change of Positions
23/12/2020,420697012.3,9,Market Movement
24/12/2020,18000000,1,Change of Positions
28/12/2020,19232343.07,1,Change of Positions
28/12/2020,149052223.8,7,Market Movement
29/12/2020,372907170.2,8,Change of Positions
30/12/2020,94341736.71,4,Change of Positions
30/12/2020,94970212.72,2,Market Movement
31/12/2020,114000000,1,Change of Positions
04/01/2021,157045543.3,10,Change of Positions
04/01/2021,397522847.1,11,Market Movement
05/01/2021,321785347.6,15,Change of Positions
05/01/2021,43000000,1,Market Movement
06/01/2021,599612984.3,8,Change of Positions
06/01/2021,1275825432,22,Market Movement
07/01/2021,169810850.4,6,Change of Positions
08/01/2021,132367346.9,4,Change of Positions
08/01/2021,68000000,2,Market Movement
11/01/2021,119625092.5,3,Change of Positions
11/01/2021,115735418.2,6,Market Movement
12/01/2021,75500000,3,Change of Positions
12/01/2021,326098310.5,9,Market Movement
13/01/2021,176289495.3,9,Change of Positions
13/01/2021,258680420.8,8,Market Movement
14/01/2021,289484328.6,9,Change of Positions
14/01/2021,138671395.6,4,Market Movement
15/01/2021,162584426.3,5,Change of Positions
15/01/2021,70633949.87,4,Market Movement
18/01/2021,15000000,1,Change of Positions
18/01/2021,66892446.06,3,Market Movement
19/01/2021,16000000,1,Change of Positions
20/01/2021,129000000,7,Change of Positions
21/01/2021,41000000,3,Change of Positions
21/01/2021,332649482.3,9,Market Movement
22/01/2021,203767807.2,8,Change of Positions
22/01/2021,12500000,1,Market Movement
25/01/2021,241144503,12,Change of Positions
25/01/2021,427239302.2,9,Market Movement
26/01/2021,243292596.6,7,Change of Positions
26/01/2021,310781279.4,13,Market Movement
27/01/2021,311879643.4,12,Change of Positions
27/01/2021,182500000,3,Market Movement
28/01/2021,106500000,5,Change of Positions
28/01/2021,379801864,9,Market Movement
29/01/2021,361851351.4,8,Change of Positions
29/01/2021,611035460.4,19,Market Movement
01/02/2021,140098973.8,3,Change of Positions
01/02/2021,241633136.1,8,Market Movement
02/02/2021,96945200.93,4,Change of Positions
02/02/2021,411052981,11,Market Movement
03/02/2021,10000000,1,Change of Positions
03/02/2021,101982316.7,6,Market Movement
04/02/2021,256745581.9,3,Change of Positions
04/02/2021,128376125.4,4,Market Movement
05/02/2021,49000000,3,Change of Positions
05/02/2021,319708867.9,12,Market Movement
08/02/2021,109792099.8,4,Change of Positions
08/02/2021,168446433.3,8,Market Movement
09/02/2021,87418043.62,4,Change of Positions
10/02/2021,122659643.8,3,Change of Positions
10/02/2021,69500000,1,Market Movement
11/02/2021,104076438.6,4,Change of Positions
11/02/2021,134500000,6,Market Movement
12/02/2021,182507267.9,6,Change of Positions
12/02/2021,357465691.6,13,Market Movement
15/02/2021,26500000,1,Change of Positions
15/02/2021,703340703.5,20,Market Movement
16/02/2021,44205509.35,2,Change of Positions
16/02/2021,260963444.3,8,Market Movement
17/02/2021,394235329,5,Change of Positions
17/02/2021,47838308.46,2,Market Movement
18/02/2021,164322906.3,4,Change of Positions
18/02/2021,284643834.5,9,Market Movement
19/02/2021,17000000,1,Change of Positions
19/02/2021,392009771.3,12,Market Movement
22/02/2021,354403280.3,5,Change of Positions
22/02/2021,509312288.8,9,Market Movement
23/02/2021,213675409.7,6,Change of Positions
23/02/2021,724276172,17,Market Movement
24/02/2021,172816864.3,6,Change of Positions
24/02/2021,317998455.8,9,Market Movement
25/02/2021,225647239.3,8,Change of Positions
25/02/2021,557942100.1,18,Market Movement
26/02/2021,281578046.4,5,Change of Positions
26/02/2021,765521136.6,15,Market Movement
01/03/2021,72161992.86,3,Change of Positions
01/03/2021,1385231551,31,Market Movement
02/03/2021,570868806.1,10,Change of Positions
02/03/2021,247342786.5,9,Market Movement
03/03/2021,344305567.3,9,Change of Positions
03/03/2021,1006232896,25,Market Movement
04/03/2021,239554761.5,7,Change of Positions
04/03/2021,198500000,5,Market Movement
05/03/2021,343204305.6,8,Change of Positions
05/03/2021,409990199.4,11,Market Movement
08/03/2021,581674616.6,7,Change of Positions
08/03/2021,917481263.9,23,Market Movement
09/03/2021,281000000,7,Change of Positions
09/03/2021,501438455.6,12,Market Movement
10/03/2021,112794651.9,3,Change of Positions
10/03/2021,103488059.2,4,Market Movement
11/03/2021,39653479.82,3,Change of Positions
11/03/2021,623263852.8,17,Market Movement
12/03/2021,710480306.7,8,Change of Positions
12/03/2021,444954512.4,11,Market Movement
15/03/2021,153761745,7,Change of Positions
15/03/2021,264216707.9,10,Market Movement
16/03/2021,628240147.6,18,Change of Positions
16/03/2021,100192101.3,4,Market Movement
17/03/2021,241806500.4,4,Change of Positions
17/03/2021,600715690.5,16,Market Movement
18/03/2021,269917058.4,6,Change of Positions
18/03/2021,221237020.3,8,Market Movement
19/03/2021,207186107.1,7,Change of Positions
19/03/2021,393435485.2,11,Market Movement
22/03/2021,228895055.8,4,Change of Positions
22/03/2021,62940717.76,2,Market Movement
23/03/2021,1206356896,6,Change of Positions
23/03/2021,107500000,4,Market Movement
24/03/2021,132500000,5,Change of Positions
24/03/2021,175000000,3,Market Movement
25/03/2021,181314353.5,5,Change of Positions
25/03/2021,142353923.1,4,Market Movement
26/03/2021,442825236.4,12,Market Movement
29/03/2021,99412423.63,5,Change of Positions
29/03/2021,182733703.9,8,Market Movement
30/03/2021,27680776.77,2,Change of Positions
30/03/2021,786623943.3,18,Market Movement
31/03/2021,120437100.2,4,Change of Positions
31/03/2021,23000000,1,Market Movement
01/04/2021,320088625.9,4,Change of Positions
01/04/2021,213121658.4,8,Market Movement
06/04/2021,346630037.3,4,Change of Positions
06/04/2021,208019096,8,Market Movement
07/04/2021,69859811.51,4,Change of Positions
08/04/2021,18500000,1,Change of Positions
08/04/2021,52000000,2,Market Movement
09/04/2021,120000000,1,Change of Positions
09/04/2021,145349916.7,7,Market Movement
12/04/2021,87500000,2,Market Movement
13/04/2021,127000000,2,Change of Positions
14/04/2021,71464393.18,3,Change of Positions
14/04/2021,22825452.27,2,Market Movement
15/04/2021,69000000,3,Change of Positions
15/04/2021,219982456.1,7,Market Movement
16/04/2021,90546721.17,5,Change of Positions
16/04/2021,147908208,7,Market Movement
19/04/2021,97020980.47,3,Change of Positions
19/04/2021,152807194.8,6,Market Movement
20/04/2021,115353248.7,4,Change of Positions
20/04/2021,447589204.2,7,Market Movement
21/04/2021,248000000,4,Change of Positions
21/04/2021,222755600.9,9,Market Movement
22/04/2021,392150340.4,10,Change of Positions
22/04/2021,214923626.1,8,Market Movement
23/04/2021,108445300.8,5,Change of Positions
26/04/2021,61964106.07,2,Change of Positions
26/04/2021,21500000,1,Market Movement
27/04/2021,11581733.95,1,Change of Positions
27/04/2021,29000000,1,Market Movement
28/04/2021,36454018.23,1,Change of Positions
28/04/2021,441707474.3,10,Market Movement
29/04/2021,102715516.5,4,Change of Positions
29/04/2021,491427832.7,16,Market Movement
30/04/2021,292225873.2,4,Change of Positions
30/04/2021,12000000,1,Market Movement
03/05/2021,190609930.3,7,Change of Positions
03/05/2021,175122589.4,8,Market Movement
04/05/2021,144745611.8,6,Change of Positions
04/05/2021,695802262.7,13,Market Movement
05/05/2021,270958350.7,4,Change of Positions
05/05/2021,442525942.1,16,Market Movement
06/05/2021,35724502.66,3,Change of Positions
06/05/2021,23500000,1,Market Movement
07/05/2021,22000000,1,Change of Positions
07/05/2021,185392886.1,7,Market Movement
10/05/2021,13500000,1,Change of Positions
10/05/2021,30719981.56,1,Market Movement
11/05/2021,59771158.59,4,Change of Positions
11/05/2021,1261926633,24,Market Movement
12/05/2021,388549684.3,7,Change of Positions
12/05/2021,119213731,3,Market Movement
13/05/2021,235417432.3,5,Change of Positions
13/05/2021,691676889.3,9,Market Movement
14/05/2021,88672688.28,4,Change of Positions
14/05/2021,738210880.1,16,Market Movement
17/05/2021,86057811.08,3,Change of Positions
18/05/2021,30000000,2,Change of Positions
18/05/2021,70500000,2,Market Movement
19/05/2021,225986734.4,9,Change of Positions
19/05/2021,910878363.8,18,Market Movement
20/05/2021,185219741,3,Change of Positions
20/05/2021,286692329.8,10,Market Movement
21/05/2021,60000000,4,Change of Positions
21/05/2021,355699540.5,9,Market Movement
24/05/2021,15000000,1,Change of Positions
24/05/2021,99781035.05,4,Market Movement
25/05/2021,84615786.04,5,Change of Positions
25/05/2021,54500000,1,Market Movement
26/05/2021,283014392,11,Change of Positions
26/05/2021,266428765.4,9,Market Movement
27/05/2021,37414002.3,3,Change of Positions
27/05/2021,65326856.55,5,Market Movement
28/05/2021,130000000,7,Change of Positions
28/05/2021,222001482.5,9,Market Movement
31/05/2021,87500000,4,Change of Positions
31/05/2021,42500000,1,Market Movement
01/06/2021,56904907.98,3,Change of Positions
01/06/2021,448000000,12,Market Movement
02/06/2021,222717955,8,Change of Positions
02/06/2021,41053504.02,2,Market Movement
03/06/2021,534862189.2,5,Change of Positions
03/06/2021,27539016.99,2,Market Movement
04/06/2021,309403317.7,5,Change of Positions
04/06/2021,92182718.49,4,Market Movement
07/06/2021,124223797.3,4,Change of Positions
07/06/2021,14800197.34,1,Market Movement
08/06/2021,94357823.02,4,Change of Positions
08/06/2021,226500000,7,Market Movement
09/06/2021,311430504.3,7,Change of Positions
09/06/2021,171890323.9,7,Market Movement
10/06/2021,168500000,3,Change of Positions
11/06/2021,258938144.3,6,Change of Positions
11/06/2021,316152489.3,12,Market Movement
14/06/2021,120135402.9,5,Change of Positions
14/06/2021,15000000,1,Market Movement
15/06/2021,303863561.3,8,Change of Positions
15/06/2021,42500000,2,Market Movement
16/06/2021,159644836.7,5,Change of Positions
17/06/2021,172186819.9,7,Change of Positions
17/06/2021,327871875.9,9,Market Movement
18/06/2021,609629349.5,11,Change of Positions
18/06/2021,358523869.6,4,Market Movement
21/06/2021,545319779.7,7,Change of Positions
21/06/2021,324829472.9,10,Market Movement
22/06/2021,121069446.8,1,Change of Positions
22/06/2021,49065116.53,4,Market Movement
23/06/2021,163714500.9,6,Change of Positions
23/06/2021,103500000,2,Market Movement
24/06/2021,23229222.52,2,Change of Positions
24/06/2021,347506265.1,9,Market Movement
25/06/2021,46297071.13,3,Change of Positions
25/06/2021,187981704.1,7,Market Movement
28/06/2021,84552476.91,2,Change of Positions
28/06/2021,67915197.31,4,Market Movement
29/06/2021,103014804.8,6,Change of Positions
29/06/2021,41000000,2,Market Movement
30/06/2021,299360484.7,9,Change of Positions
30/06/2021,364372433.5,8,Market Movement
01/07/2021,81012285.43,3,Change of Positions
01/07/2021,362927128.9,9,Market Movement
02/07/2021,184181975.8,5,Change of Positions
02/07/2021,180012771.7,9,Market Movement
05/07/2021,117500000,2,Change of Positions
05/07/2021,79042060.72,5,Market Movement
06/07/2021,101944754.2,5,Change of Positions
06/07/2021,595376583.9,17,Market Movement
07/07/2021,136047586.8,6,Change of Positions
07/07/2021,349505874.4,13,Market Movement
08/07/2021,87109224.53,5,Change of Positions
08/07/2021,999260651.2,26,Market Movement
09/07/2021,250725501.8,4,Change of Positions
09/07/2021,331082538.7,14,Market Movement
12/07/2021,88171447.86,5,Change of Positions
12/07/2021,177686466.4,5,Market Movement
13/07/2021,106500000,4,Change of Positions
13/07/2021,11500000,1,Market Movement
14/07/2021,186937690.5,4,Change of Positions
14/07/2021,59076299.84,5,Market Movement
15/07/2021,31359640.95,2,Change of Positions
15/07/2021,75000000,2,Market Movement
16/07/2021,19911879.34,1,Change of Positions
16/07/2021,77000000,4,Market Movement
19/07/2021,421228029.9,13,Change of Positions
19/07/2021,812322709.5,19,Market Movement
20/07/2021,98015923.57,4,Change of Positions
20/07/2021,319759023.4,12,Market Movement
21/07/2021,54500000,2,Change of Positions
21/07/2021,325867424,16,Market Movement
22/07/2021,10500000,1,Change of Positions
22/07/2021,334069002.1,10,Market Movement
23/07/2021,135055196.7,3,Change of Positions
23/07/2021,270979932.6,10,Market Movement
26/07/2021,68875854.42,2,Change of Positions
26/07/2021,374000000,6,Market Movement
27/07/2021,35000000,1,Change of Positions
27/07/2021,360000000,4,Market Movement
28/07/2021,38112983.82,2,Change of Positions
28/07/2021,323370204.1,7,Market Movement
29/07/2021,151485387,5,Change of Positions
29/07/2021,194453837.6,4,Market Movement
30/07/2021,53797914.39,2,Change of Positions
30/07/2021,96000000,1,Market Movement
02/08/2021,21874474.17,1,Change of Positions
02/08/2021,200907285.9,7,Market Movement
03/08/2021,15565839.29,1,Change of Positions
03/08/2021,31500000,2,Market Movement
04/08/2021,164075541.7,7,Market Movement
05/08/2021,121316455.7,5,Change of Positions
05/08/2021,190500000,6,Market Movement
06/08/2021,5577911.298,1,Change of Positions
06/08/2021,467594895.6,16,Market Movement
09/08/2021,60879687.1,2,Change of Positions
09/08/2021,40500000,2,Market Movement
10/08/2021,26500000,1,Change of Positions
11/08/2021,72849889.06,2,Change of Positions
11/08/2021,25500000,2,Market Movement
12/08/2021,54519124.29,1,Change of Positions
12/08/2021,58370730.05,3,Market Movement
13/08/2021,56624309.39,3,Change of Positions
16/08/2021,92500000,1,Market Movement
17/08/2021,162257969.6,5,Change of Positions
17/08/2021,134500000,2,Market Movement
19/08/2021,63969904.24,5,Change of Positions
19/08/2021,829947332.4,11,Market Movement
20/08/2021,10000000,1,Change of Positions
20/08/2021,44126467.31,2,Market Movement
23/08/2021,43000000,2,Change of Positions
23/08/2021,114259375,8,Market Movement
24/08/2021,25500000,1,Change of Positions
24/08/2021,118000000,2,Market Movement
25/08/2021,36650988.41,2,Change of Positions
25/08/2021,729085360.5,27,Market Movement
26/08/2021,23500000,2,Change of Positions
27/08/2021,30000000,2,Change of Positions
27/08/2021,71508035.03,2,Market Movement
30/08/2021,22168629.78,2,Change of Positions
30/08/2021,26692653.16,1,Market Movement
31/08/2021,95313925.98,4,Change of Positions
31/08/2021,322726544.2,12,Market Movement
01/09/2021,122500000,4,Change of Positions
01/09/2021,396848420,13,Market Movement
02/09/2021,418036299.2,5,Change of Positions
02/09/2021,58000000,4,Market Movement
03/09/2021,229105121.3,6,Change of Positions
03/09/2021,425197439.4,7,Market Movement
06/09/2021,311240454.5,5,Change of Positions
06/09/2021,113000000,3,Market Movement
07/09/2021,144500000,2,Change of Positions
07/09/2021,308025329.2,15,Market Movement
08/09/2021,270665426.6,5,Change of Positions
08/09/2021,288569036.9,6,Market Movement
09/09/2021,485910542.3,8,Change of Positions
09/09/2021,269101402.3,9,Market Movement
10/09/2021,14000000,1,Change of Positions
10/09/2021,93000000,3,Market Movement
13/09/2021,632386474.9,13,Change of Positions
13/09/2021,103000000,4,Market Movement
14/09/2021,606455899.8,11,Change of Positions
14/09/2021,116458476.5,7,Market Movement
15/09/2021,159214479,6,Change of Positions
15/09/2021,186352127.5,7,Market Movement
16/09/2021,272706933.8,9,Change of Positions
16/09/2021,145531567.2,8,Market Movement
17/09/2021,493000848.9,9,Change of Positions
17/09/2021,438035879.1,11,Market Movement
20/09/2021,245398087.3,7,Change of Positions
20/09/2021,977000000,21,Market Movement
21/09/2021,188435934.6,5,Change of Positions
21/09/2021,288305440.3,7,Market Movement
22/09/2021,40715107.85,3,Change of Positions
22/09/2021,398310512.4,9,Market Movement
23/09/2021,87412291.93,6,Change of Positions
23/09/2021,982130064.6,25,Market Movement
24/09/2021,35525965.55,3,Change of Positions
24/09/2021,591059202.7,23,Market Movement
27/09/2021,248872969.7,3,Change of Positions
27/09/2021,416307278.7,9,Market Movement
28/09/2021,31683507.45,1,Change of Positions
28/09/2021,814008047.5,19,Market Movement
29/09/2021,250402780.2,5,Change of Positions
29/09/2021,354000000,9,Market Movement
30/09/2021,144681751.4,7,Change of Positions
30/09/2021,180102549.7,7,Market Movement
01/10/2021,82482758.62,3,Change of Positions
01/10/2021,611500000,12,Market Movement
04/10/2021,309806634.6,9,Change of Positions
05/10/2021,122756766.1,2,Change of Positions
05/10/2021,666054042.4,9,Market Movement
06/10/2021,209957633,10,Change of Positions
06/10/2021,1129101715,18,Market Movement
07/10/2021,255628092,5,Change of Positions
07/10/2021,474876055.8,12,Market Movement
08/10/2021,50500000,4,Change of Positions
08/10/2021,281420018.8,9,Market Movement
11/10/2021,215000000,5,Change of Positions
11/10/2021,108848442.9,6,Market Movement
12/10/2021,150576244.9,7,Change of Positions
12/10/2021,101500000,1,Market Movement
13/10/2021,427954679.1,7,Change of Positions
13/10/2021,1082951689,27,Market Movement
14/10/2021,349256766.1,8,Change of Positions
14/10/2021,864363040.9,24,Market Movement
15/10/2021,232343044.3,4,Change of Positions
15/10/2021,265752456.5,4,Market Movement
18/10/2021,299247328.5,5,Change of Positions
18/10/2021,428344200.2,15,Market Movement
19/10/2021,103012012,5,Change of Positions
19/10/2021,458996406.4,11,Market Movement
21/10/2021,15000000,1,Change of Positions
21/10/2021,63410191.79,3,Market Movement
22/10/2021,178300515.9,3,Change of Positions
22/10/2021,217543422.2,6,Market Movement
25/10/2021,43477074.89,2,Change of Positions
25/10/2021,30500000,2,Market Movement
26/10/2021,34000000,2,Change of Positions
26/10/2021,253500000,6,Market Movement
27/10/2021,64500000,4,Change of Positions
27/10/2021,948084274.4,30,Market Movement
28/10/2021,10351073.92,1,Change of Positions
28/10/2021,521042780.9,16,Market Movement
29/10/2021,230935165.3,6,Change of Positions
29/10/2021,732220327.8,21,Market Movement
01/11/2021,177141734.3,6,Change of Positions
01/11/2021,555758784.6,34,Market Movement
02/11/2021,130000000,3,Change of Positions
02/11/2021,1266754700,31,Market Movement
03/11/2021,78206771.46,4,Change of Positions
03/11/2021,156000000,5,Market Movement
04/11/2021,164989368.1,8,Change of Positions
04/11/2021,783269087,20,Market Movement
05/11/2021,35000000,2,Change of Positions
05/11/2021,422779099.5,19,Market Movement
08/11/2021,67000000,3,Change of Positions
08/11/2021,241805293.9,7,Market Movement
09/11/2021,149002332.2,4,Change of Positions
09/11/2021,382636952.6,15,Market Movement
