FACT_DATE,VOLUME,N_CALLS,TYPE
19/11/2019,242500000,4,Market Movement
20/11/2019,181000000,6,Change of Positions
20/11/2019,133500000,3,Market Movement
21/11/2019,180009463.1,5,Change of Positions
21/11/2019,55450365.16,2,Market Movement
22/11/2019,132500000,6,Change of Positions
22/11/2019,153860058.2,5,Market Movement
25/11/2019,50000000,1,Change of Positions
25/11/2019,20000000,1,Market Movement
26/11/2019,70000000,2,Change of Positions
27/11/2019,287333908.6,5,Change of Positions
27/11/2019,20500000,1,Market Movement
28/11/2019,17000000,1,Change of Positions
29/11/2019,229211619,8,Change of Positions
29/11/2019,103915042.8,3,Market Movement
02/12/2019,586540642.3,13,Change of Positions
02/12/2019,938473691.4,22,Market Movement
03/12/2019,153161954.7,7,Change of Positions
03/12/2019,721751250.6,17,Market Movement
04/12/2019,193243702.1,3,Change of Positions
04/12/2019,599960472.6,8,Market Movement
05/12/2019,68724986.48,4,Change of Positions
05/12/2019,55816657.65,3,Market Movement
06/12/2019,43520822.07,3,Change of Positions
06/12/2019,291820954.9,6,Market Movement
09/12/2019,37500000,1,Market Movement
10/12/2019,206965017.6,7,Change of Positions
10/12/2019,174000000,7,Market Movement
11/12/2019,160830699.8,6,Change of Positions
11/12/2019,121786681.7,4,Market Movement
12/12/2019,246000000,5,Change of Positions
12/12/2019,212397249.4,10,Market Movement
13/12/2019,682291748.7,13,Change of Positions
13/12/2019,674350749.3,11,Market Movement
16/12/2019,677572492.4,7,Change of Positions
16/12/2019,390252108.4,6,Market Movement
17/12/2019,188126142.3,10,Change of Positions
17/12/2019,85000000,4,Market Movement
18/12/2019,393794646.9,6,Change of Positions
18/12/2019,63427800.27,3,Market Movement
19/12/2019,394431051.5,11,Change of Positions
19/12/2019,48000000,3,Market Movement
20/12/2019,490319455.7,8,Change of Positions
23/12/2019,108000000,2,Change of Positions
23/12/2019,79189616.25,2,Market Movement
24/12/2019,34500000,1,Change of Positions
30/12/2019,397515995.3,20,Market Movement
02/01/2020,579704458.1,8,Change of Positions
02/01/2020,1041783525,18,Market Movement
03/01/2020,89713779.49,7,Change of Positions
03/01/2020,504214022.1,13,Market Movement
06/01/2020,114560032.2,6,Change of Positions
06/01/2020,235285714.3,8,Market Movement
07/01/2020,257793591.1,13,Change of Positions
07/01/2020,147000000,4,Market Movement
08/01/2020,233897885.7,7,Change of Positions
08/01/2020,81500000,3,Market Movement
09/01/2020,96202070.21,5,Change of Positions
09/01/2020,271526152.1,8,Market Movement
10/01/2020,134737084.1,5,Change of Positions
13/01/2020,72668703.94,3,Change of Positions
13/01/2020,209096440.8,7,Market Movement
14/01/2020,179436844.1,7,Change of Positions
14/01/2020,38500000,1,Market Movement
15/01/2020,127351642.4,5,Change of Positions
15/01/2020,156417050.4,6,Market Movement
16/01/2020,304461232,5,Change of Positions
17/01/2020,171104789.3,8,Change of Positions
17/01/2020,87978651.52,5,Market Movement
20/01/2020,68500000,5,Change of Positions
21/01/2020,61746063.88,4,Change of Positions
21/01/2020,253239541.2,6,Market Movement
22/01/2020,112000000,2,Change of Positions
22/01/2020,31000000,2,Market Movement
23/01/2020,130000000,4,Change of Positions
23/01/2020,276474168.2,9,Market Movement
24/01/2020,229342093.3,11,Change of Positions
24/01/2020,888500000,11,Market Movement
27/01/2020,131101717.8,8,Change of Positions
27/01/2020,1648082411,35,Market Movement
28/01/2020,76221490.23,5,Change of Positions
28/01/2020,383516848.3,13,Market Movement
29/01/2020,67000000,2,Change of Positions
29/01/2020,69500000,2,Market Movement
30/01/2020,200593707.5,4,Change of Positions
30/01/2020,307000000,8,Market Movement
31/01/2020,221630112.2,6,Change of Positions
31/01/2020,138292616.7,4,Market Movement
03/02/2020,72628411.35,5,Change of Positions
03/02/2020,16000000,1,Market Movement
04/02/2020,85745112.24,5,Change of Positions
04/02/2020,857836712.5,15,Market Movement
05/02/2020,54777329.22,3,Change of Positions
05/02/2020,1154725658,27,Market Movement
06/02/2020,50500000,3,Change of Positions
06/02/2020,151406116.5,4,Market Movement
07/02/2020,55500000,3,Change of Positions
07/02/2020,134000000,4,Market Movement
10/02/2020,25500000,2,Change of Positions
11/02/2020,65049490.87,5,Change of Positions
11/02/2020,516812177.7,8,Market Movement
12/02/2020,204000000,9,Change of Positions
12/02/2020,189821229.5,7,Market Movement
13/02/2020,241500000,7,Change of Positions
13/02/2020,371422931.8,6,Market Movement
14/02/2020,92000000,3,Change of Positions
17/02/2020,31000000,2,Change of Positions
17/02/2020,13000000,1,Market Movement
18/02/2020,81151627.22,4,Change of Positions
18/02/2020,118000000,2,Market Movement
19/02/2020,123185185.2,8,Change of Positions
19/02/2020,115925925.9,5,Market Movement
20/02/2020,175786376.3,5,Change of Positions
20/02/2020,115500000,3,Market Movement
21/02/2020,657455372.7,14,Change of Positions
21/02/2020,452458892.7,8,Market Movement
24/02/2020,625611965.7,21,Change of Positions
24/02/2020,1658748276,23,Market Movement
25/02/2020,517699262,16,Change of Positions
25/02/2020,374387453.9,7,Market Movement
26/02/2020,333178160.9,11,Change of Positions
26/02/2020,804644778.9,17,Market Movement
27/02/2020,697645860.9,21,Change of Positions
27/02/2020,1806361547,33,Market Movement
28/02/2020,378337751.7,13,Change of Positions
28/02/2020,3210502617,38,Market Movement
02/03/2020,572536324.4,13,Change of Positions
02/03/2020,1014253665,21,Market Movement
03/03/2020,289548683.2,12,Change of Positions
03/03/2020,946150958.5,25,Market Movement
04/03/2020,269363302.8,13,Change of Positions
04/03/2020,355484053.1,11,Market Movement
05/03/2020,500399105.9,12,Change of Positions
05/03/2020,598601680.5,11,Market Movement
06/03/2020,490534580.1,13,Change of Positions
06/03/2020,2377500000,37,Market Movement
09/03/2020,674802374.3,13,Change of Positions
09/03/2020,6766767031,72,Market Movement
10/03/2020,779313871.8,15,Change of Positions
10/03/2020,2649225229,48,Market Movement
11/03/2020,1477435780,20,Change of Positions
11/03/2020,1151887933,23,Market Movement
12/03/2020,1360686833,11,Change of Positions
12/03/2020,10667015314,83,Market Movement
13/03/2020,2243076369,22,Change of Positions
13/03/2020,5427711470,61,Market Movement
16/03/2020,977771354.3,11,Change of Positions
16/03/2020,8711008488,57,Market Movement
17/03/2020,1175271899,16,Change of Positions
17/03/2020,2650147150,27,Market Movement
18/03/2020,324292665.1,5,Change of Positions
18/03/2020,7080024282,68,Market Movement
19/03/2020,192574761.6,5,Change of Positions
19/03/2020,2644475395,44,Market Movement
20/03/2020,804944148.7,13,Change of Positions
20/03/2020,2857198563,44,Market Movement
23/03/2020,607689234.2,13,Change of Positions
23/03/2020,1200640035,14,Market Movement
24/03/2020,275891589,9,Change of Positions
24/03/2020,2902663314,41,Market Movement
25/03/2020,1002910409,10,Change of Positions
25/03/2020,2502605363,22,Market Movement
26/03/2020,1157499499,14,Change of Positions
26/03/2020,1131581231,20,Market Movement
27/03/2020,683479138.2,11,Change of Positions
27/03/2020,2639084913,30,Market Movement
30/03/2020,902070328.1,9,Change of Positions
30/03/2020,835936287.8,15,Market Movement
31/03/2020,423889010.6,6,Change of Positions
31/03/2020,1226469790,20,Market Movement
01/04/2020,458555596.2,7,Change of Positions
01/04/2020,2230112407,16,Market Movement
02/04/2020,359758573.3,7,Change of Positions
02/04/2020,57853831.19,5,Market Movement
03/04/2020,69052155.77,2,Change of Positions
06/04/2020,46000000,2,Change of Positions
06/04/2020,2707217635,25,Market Movement
07/04/2020,437104731.3,6,Change of Positions
07/04/2020,2405318735,30,Market Movement
08/04/2020,941010895.3,17,Change of Positions
08/04/2020,111000000,2,Market Movement
09/04/2020,1061768979,12,Change of Positions
09/04/2020,533615487.3,11,Market Movement
14/04/2020,531377041,12,Change of Positions
14/04/2020,660138009.7,12,Market Movement
15/04/2020,617139869.8,11,Change of Positions
15/04/2020,955871778.4,14,Market Movement
16/04/2020,262402041.2,9,Change of Positions
16/04/2020,258500000,6,Market Movement
17/04/2020,759442296.3,16,Change of Positions
17/04/2020,1705056329,19,Market Movement
20/04/2020,455390716.2,9,Change of Positions
20/04/2020,160520271,3,Market Movement
21/04/2020,227519332.3,6,Change of Positions
21/04/2020,497727738.3,8,Market Movement
22/04/2020,199323102.9,11,Change of Positions
22/04/2020,472596484.8,10,Market Movement
23/04/2020,522235990.9,11,Change of Positions
23/04/2020,42000000,2,Market Movement
24/04/2020,425407407.4,7,Change of Positions
24/04/2020,202796296.3,5,Market Movement
27/04/2020,584665868,10,Change of Positions
27/04/2020,758180970,11,Market Movement
28/04/2020,181330881.7,7,Change of Positions
28/04/2020,708500000,14,Market Movement
29/04/2020,281460804.8,9,Change of Positions
29/04/2020,1047377421,11,Market Movement
30/04/2020,548631114.4,15,Change of Positions
30/04/2020,762518573,12,Market Movement
04/05/2020,115197324.1,5,Change of Positions
04/05/2020,1173506996,10,Market Movement
05/05/2020,314062833.8,8,Change of Positions
05/05/2020,1571489181,17,Market Movement
06/05/2020,410724461.3,7,Change of Positions
06/05/2020,187937911,5,Market Movement
07/05/2020,176656635.4,7,Change of Positions
07/05/2020,234189789.5,4,Market Movement
08/05/2020,62556349.72,4,Change of Positions
08/05/2020,19828460.76,1,Market Movement
11/05/2020,326755358.5,5,Change of Positions
11/05/2020,116383961.6,4,Market Movement
12/05/2020,290994474.1,9,Change of Positions
13/05/2020,79948275.86,5,Change of Positions
13/05/2020,420132183.9,5,Market Movement
