Description,Volume,N.Calls,Typpe
2019-10-18T00:00:00Z,399646082.5,13,Change of Positions
2019-10-18T00:00:00Z,189122316.2,5,Market Movement
2019-10-21T00:00:00Z,401752215.2,11,Change of Positions
2019-10-21T00:00:00Z,372675391.4,10,Market Movement
2019-10-22T00:00:00Z,133469451.9,6,Change of Positions
2019-10-22T00:00:00Z,114551784.8,3,Market Movement
2019-10-23T00:00:00Z,51500000,2,Change of Positions
2019-10-23T00:00:00Z,189106053.5,5,Market Movement
2019-10-24T00:00:00Z,53000000,3,Change of Positions
2019-10-24T00:00:00Z,103334291.9,4,Market Movement
2019-10-25T00:00:00Z,84903664.36,5,Change of Positions
2019-10-25T00:00:00Z,25000000,1,Market Movement
2019-10-28T00:00:00Z,257000000,4,Change of Positions
2019-10-28T00:00:00Z,192695814.9,5,Market Movement
2019-10-29T00:00:00Z,97000000,4,Change of Positions
2019-10-29T00:00:00Z,58000000,2,Market Movement
2019-10-30T00:00:00Z,178867188.9,7,Change of Positions
2019-10-31T00:00:00Z,53844629.73,4,Change of Positions
2019-10-31T00:00:00Z,315056538,9,Market Movement
2019-11-01T00:00:00Z,254659439.8,8,Change of Positions
2019-11-01T00:00:00Z,33506059.79,2,Market Movement
2019-11-04T00:00:00Z,343794636.6,7,Change of Positions
2019-11-04T00:00:00Z,552500000,11,Market Movement
2019-11-05T00:00:00Z,590121352.4,6,Change of Positions
2019-11-05T00:00:00Z,47000000,2,Market Movement
2019-11-06T00:00:00Z,573838142.5,7,Change of Positions
2019-11-07T00:00:00Z,73326258.79,5,Change of Positions
2019-11-07T00:00:00Z,875032499.8,12,Market Movement
2019-11-08T00:00:00Z,144884634.4,7,Change of Positions
2019-11-08T00:00:00Z,64501903.21,2,Market Movement
2019-11-11T00:00:00Z,26500000,2,Change of Positions
2019-11-11T00:00:00Z,18500000,1,Market Movement
2019-11-12T00:00:00Z,77418293.24,2,Change of Positions
2019-11-13T00:00:00Z,706790114.5,14,Change of Positions
2019-11-13T00:00:00Z,260444186.4,8,Market Movement
2019-11-14T00:00:00Z,342715422.4,8,Change of Positions
2019-11-14T00:00:00Z,130092998.4,3,Market Movement
2019-11-15T00:00:00Z,553000000,8,Change of Positions
2019-11-15T00:00:00Z,124000000,2,Market Movement
2019-11-18T00:00:00Z,313388527.3,5,Change of Positions
2019-11-19T00:00:00Z,88478649.45,2,Change of Positions
2019-11-19T00:00:00Z,242500000,4,Market Movement
2019-11-20T00:00:00Z,181000000,6,Change of Positions
2019-11-20T00:00:00Z,133500000,3,Market Movement
2019-11-21T00:00:00Z,180009463.1,5,Change of Positions
2019-11-21T00:00:00Z,55450365.16,2,Market Movement
2019-11-22T00:00:00Z,132500000,6,Change of Positions
2019-11-22T00:00:00Z,153860058.2,5,Market Movement
2019-11-25T00:00:00Z,50000000,1,Change of Positions
2019-11-25T00:00:00Z,20000000,1,Market Movement
2019-11-26T00:00:00Z,70000000,2,Change of Positions
2019-11-27T00:00:00Z,287333908.6,5,Change of Positions
2019-11-27T00:00:00Z,20500000,1,Market Movement
2019-11-28T00:00:00Z,17000000,1,Change of Positions
2019-11-29T00:00:00Z,229211619,8,Change of Positions
2019-11-29T00:00:00Z,103915042.8,3,Market Movement
2019-12-02T00:00:00Z,586540642.3,13,Change of Positions
2019-12-02T00:00:00Z,938473691.4,22,Market Movement
2019-12-03T00:00:00Z,153161954.7,7,Change of Positions
2019-12-03T00:00:00Z,721751250.6,17,Market Movement
2019-12-04T00:00:00Z,193243702.1,3,Change of Positions
2019-12-04T00:00:00Z,599960472.6,8,Market Movement
2019-12-05T00:00:00Z,68724986.48,4,Change of Positions
