FACT_DATE,TYPE,DEBIT_EUR,TYP
08/12/2021,VAR MARGIN PAID,3495732339,EOD
08/12/2021,MARGIN CALL,454346771,ID
08/12/2021,MARGIN CALL,449721862,EOD
07/12/2021,MARGIN CALL,1430001919,ID
07/12/2021,MARGIN CALL,1620043401,EOD
07/12/2021,VAR MARGIN PAID,3804976642,EOD
06/12/2021,MARGIN CALL,1086157545,EOD
06/12/2021,VAR MARGIN PAID,2460508300,EOD
06/12/2021,MARGIN CALL,459377466,ID
03/12/2021,MARGIN CALL,914439690,EOD
03/12/2021,VAR MARGIN PAID,1868642906,EOD
03/12/2021,MARGIN CALL,534894252,ID
02/12/2021,MARGIN CALL,541951977,EOD
02/12/2021,MARGIN CALL,1026506570,ID
02/12/2021,VAR MARGIN PAID,3428397389,EOD
01/12/2021,MARGIN CALL,655859799,EOD
01/12/2021,MARGIN CALL,1096456907,ID
01/12/2021,VAR MARGIN PAID,3468234284,EOD
30/11/2021,MARGIN CALL,521292871,EOD
30/11/2021,MARGIN CALL,1135457274,ID
30/11/2021,VAR MARGIN PAID,2687823959,EOD
29/11/2021,MARGIN CALL,466665715,ID
29/11/2021,VAR MARGIN PAID,1685989257,EOD
29/11/2021,MARGIN CALL,801715114,EOD
26/11/2021,MARGIN CALL,1563344832,EOD
26/11/2021,MARGIN CALL,3771710818,ID
26/11/2021,VAR MARGIN PAID,8710701484,EOD
25/11/2021,MARGIN CALL,232500000,ID
25/11/2021,VAR MARGIN PAID,1693881122,EOD
25/11/2021,MARGIN CALL,467566991,EOD
24/11/2021,MARGIN CALL,562847911,ID
24/11/2021,MARGIN CALL,300107703,EOD
24/11/2021,VAR MARGIN PAID,1999479136,EOD
23/11/2021,VAR MARGIN PAID,4587908828,EOD
23/11/2021,MARGIN CALL,435135945,EOD
23/11/2021,MARGIN CALL,1322716150,ID
22/11/2021,MARGIN CALL,607885872,EOD
22/11/2021,MARGIN CALL,190753292,ID
22/11/2021,VAR MARGIN PAID,2142003521,EOD
19/11/2021,MARGIN CALL,1480438849,EOD
19/11/2021,MARGIN CALL,936236797,ID
19/11/2021,VAR MARGIN PAID,3656884453,EOD
18/11/2021,VAR MARGIN PAID,2454998294,EOD
18/11/2021,MARGIN CALL,296204047,EOD
18/11/2021,MARGIN CALL,288106121,ID
17/11/2021,MARGIN CALL,163114882,ID
17/11/2021,VAR MARGIN PAID,620755323,EOD
17/11/2021,MARGIN CALL,512543323,EOD
16/11/2021,MARGIN CALL,291943823,EOD
16/11/2021,MARGIN CALL,153458374,ID
16/11/2021,VAR MARGIN PAID,1845515005,EOD
15/11/2021,MARGIN CALL,311574704,EOD
15/11/2021,VAR MARGIN PAID,1058323694,EOD
15/11/2021,MARGIN CALL,38422754,ID
12/11/2021,MARGIN CALL,451137393,EOD
12/11/2021,MARGIN CALL,381947939,ID
12/11/2021,VAR MARGIN PAID,2131721880,EOD
11/11/2021,MARGIN CALL,489946722,EOD
11/11/2021,MARGIN CALL,240000000,ID
11/11/2021,VAR MARGIN PAID,2141500272,EOD
10/11/2021,MARGIN CALL,302121544,ID
10/11/2021,VAR MARGIN PAID,2942065133,EOD
10/11/2021,MARGIN CALL,441277924,EOD
09/11/2021,MARGIN CALL,442436286,EOD
09/11/2021,VAR MARGIN PAID,3160799192,EOD
09/11/2021,MARGIN CALL,531639285,ID
08/11/2021,MARGIN CALL,234506147,EOD
08/11/2021,VAR MARGIN PAID,1977054968,EOD
08/11/2021,MARGIN CALL,308805294,ID
05/11/2021,MARGIN CALL,457779099,ID
05/11/2021,VAR MARGIN PAID,3818755219,EOD
05/11/2021,MARGIN CALL,506569371,EOD
04/11/2021,VAR MARGIN PAID,3501792615,EOD
04/11/2021,MARGIN CALL,948258456,ID
04/11/2021,MARGIN CALL,539575983,EOD
03/11/2021,MARGIN CALL,425694487,EOD
03/11/2021,MARGIN CALL,234206771,ID
03/11/2021,VAR MARGIN PAID,881122134,EOD
02/11/2021,MARGIN CALL,452434097,EOD
02/11/2021,MARGIN CALL,1396754701,ID
02/11/2021,VAR MARGIN PAID,4105987184,EOD
01/11/2021,MARGIN CALL,615495254,EOD
01/11/2021,MARGIN CALL,732900519,ID
01/11/2021,VAR MARGIN PAID,1948962217,EOD
29/10/2021,VAR MARGIN PAID,3618292903,EOD
29/10/2021,MARGIN CALL,964254219,EOD
29/10/2021,MARGIN CALL,963155437,ID
28/10/2021,MARGIN CALL,531393855,ID
28/10/2021,VAR MARGIN PAID,1735235810,EOD
28/10/2021,MARGIN CALL,605265485,EOD
27/10/2021,MARGIN CALL,1013823598,ID
27/10/2021,MARGIN CALL,431663385,EOD
27/10/2021,VAR MARGIN PAID,4515441398,EOD
26/10/2021,VAR MARGIN PAID,1325203151,EOD
26/10/2021,MARGIN CALL,287500000,ID
26/10/2021,MARGIN CALL,436892929,EOD
25/10/2021,MARGIN CALL,282812307,EOD
25/10/2021,VAR MARGIN PAID,1313470623,EOD
25/10/2021,MARGIN CALL,73977075,ID
22/10/2021,MARGIN CALL,884022460,EOD
22/10/2021,MARGIN CALL,395843938,ID
22/10/2021,VAR MARGIN PAID,2119879535,EOD
21/10/2021,MARGIN CALL,404343423,EOD
21/10/2021,MARGIN CALL,78410192,ID
21/10/2021,VAR MARGIN PAID,1724798184,EOD
20/10/2021,VAR MARGIN PAID,933652408,EOD
20/10/2021,MARGIN CALL,414948881,EOD
19/10/2021,MARGIN CALL,562008280,ID
19/10/2021,MARGIN CALL,480886514,EOD
19/10/2021,VAR MARGIN PAID,2176968970,EOD
18/10/2021,MARGIN CALL,727591529,ID
18/10/2021,VAR MARGIN PAID,2310388443,EOD
18/10/2021,MARGIN CALL,359096066,EOD
15/10/2021,VAR MARGIN PAID,2211410199,EOD
15/10/2021,MARGIN CALL,503657401,EOD
15/10/2021,MARGIN CALL,498095501,ID
14/10/2021,MARGIN CALL,1213619807,ID
14/10/2021,VAR MARGIN PAID,3799684183,EOD
14/10/2021,MARGIN CALL,791033460,EOD
13/10/2021,MARGIN CALL,1510906368,ID
13/10/2021,VAR MARGIN PAID,3835519386,EOD
13/10/2021,MARGIN CALL,630614965,EOD
12/10/2021,VAR MARGIN PAID,1541139995,EOD
12/10/2021,MARGIN CALL,414218737,EOD
12/10/2021,MARGIN CALL,252076239,ID
11/10/2021,VAR MARGIN PAID,2282949333,EOD
11/10/2021,MARGIN CALL,323848443,ID
11/10/2021,MARGIN CALL,405451234,EOD
08/10/2021,VAR MARGIN PAID,2132624181,EOD
08/10/2021,MARGIN CALL,331920019,ID
08/10/2021,MARGIN CALL,698460048,EOD
07/10/2021,MARGIN CALL,730504148,ID
07/10/2021,MARGIN CALL,766638289,EOD
07/10/2021,VAR MARGIN PAID,3016828170,EOD
06/10/2021,MARGIN CALL,373527431,EOD
06/10/2021,VAR MARGIN PAID,1750883434,EOD
06/10/2021,MARGIN CALL,1339059348,ID
05/10/2021,VAR MARGIN PAID,3279755470,EOD
05/10/2021,MARGIN CALL,788810808,ID
05/10/2021,MARGIN CALL,894992508,EOD
04/10/2021,MARGIN CALL,309806635,ID
04/10/2021,VAR MARGIN PAID,1446871060,EOD
04/10/2021,MARGIN CALL,357102268,EOD
01/10/2021,MARGIN CALL,610817983,EOD
01/10/2021,MARGIN CALL,693982759,ID
01/10/2021,VAR MARGIN PAID,2145006931,EOD
30/09/2021,MARGIN CALL,504661653,EOD
30/09/2021,MARGIN CALL,324784301,ID
30/09/2021,VAR MARGIN PAID,1590139189,EOD
29/09/2021,MARGIN CALL,604402780,ID
29/09/2021,VAR MARGIN PAID,1543162127,EOD
29/09/2021,MARGIN CALL,817781818,EOD
28/09/2021,VAR MARGIN PAID,3296889177,EOD
28/09/2021,MARGIN CALL,713667200,EOD
28/09/2021,MARGIN CALL,845691555,ID
27/09/2021,MARGIN CALL,665180249,ID
27/09/2021,VAR MARGIN PAID,1252441901,EOD
27/09/2021,MARGIN CALL,443090480,EOD
24/09/2021,MARGIN CALL,394906690,EOD
24/09/2021,VAR MARGIN PAID,2827967514,EOD
24/09/2021,MARGIN CALL,626590075,ID
23/09/2021,VAR MARGIN PAID,3647994356,EOD
23/09/2021,MARGIN CALL,700214778,EOD
23/09/2021,MARGIN CALL,1069542156,ID
22/09/2021,MARGIN CALL,439025620,ID
22/09/2021,MARGIN CALL,783075899,EOD
22/09/2021,VAR MARGIN PAID,2082104050,EOD
21/09/2021,MARGIN CALL,576290578,EOD
21/09/2021,VAR MARGIN PAID,2076865028,EOD
21/09/2021,MARGIN CALL,476741358,ID
20/09/2021,MARGIN CALL,1222398087,ID
20/09/2021,VAR MARGIN PAID,3592399914,EOD
20/09/2021,MARGIN CALL,619931939,EOD
17/09/2021,VAR MARGIN PAID,2453818698,EOD
17/09/2021,MARGIN CALL,2536509702,EOD
17/09/2021,MARGIN CALL,931036728,ID
16/09/2021,VAR MARGIN PAID,1365010357,EOD
16/09/2021,MARGIN CALL,1154718495,EOD
16/09/2021,MARGIN CALL,408803385,ID
15/09/2021,MARGIN CALL,345566607,ID
15/09/2021,VAR MARGIN PAID,2167224089,EOD
15/09/2021,MARGIN CALL,774363219,EOD
14/09/2021,MARGIN CALL,412505072,EOD
14/09/2021,VAR MARGIN PAID,1047127411,EOD
14/09/2021,MARGIN CALL,724403525,ID
13/09/2021,MARGIN CALL,543850292,EOD
13/09/2021,MARGIN CALL,735386475,ID
13/09/2021,VAR MARGIN PAID,987896222,EOD
10/09/2021,MARGIN CALL,531061078,EOD
10/09/2021,VAR MARGIN PAID,1532926079,EOD
10/09/2021,MARGIN CALL,107000000,ID
09/09/2021,VAR MARGIN PAID,1924666769,EOD
09/09/2021,MARGIN CALL,460437019,EOD
09/09/2021,MARGIN CALL,755011945,ID
08/09/2021,MARGIN CALL,671304788,EOD
08/09/2021,VAR MARGIN PAID,1786867434,EOD
08/09/2021,MARGIN CALL,559234464,ID
07/09/2021,MARGIN CALL,474097687,EOD
07/09/2021,VAR MARGIN PAID,2485558490,EOD
07/09/2021,MARGIN CALL,452525329,ID
06/09/2021,MARGIN CALL,944189528,EOD
06/09/2021,MARGIN CALL,426583888,ID
06/09/2021,VAR MARGIN PAID,1283363730,EOD
03/09/2021,MARGIN CALL,654302561,ID
03/09/2021,MARGIN CALL,392340763,EOD
03/09/2021,VAR MARGIN PAID,1822557591,EOD
02/09/2021,MARGIN CALL,504154146,EOD
02/09/2021,MARGIN CALL,476036299,ID
02/09/2021,VAR MARGIN PAID,1002317670,EOD
01/09/2021,VAR MARGIN PAID,1941190669,EOD
01/09/2021,MARGIN CALL,519348420,ID
01/09/2021,MARGIN CALL,395466141,EOD
31/08/2021,MARGIN CALL,418040470,ID
31/08/2021,VAR MARGIN PAID,2500661587,EOD
31/08/2021,MARGIN CALL,688029614,EOD
30/08/2021,MARGIN CALL,48861283,ID
30/08/2021,MARGIN CALL,1096142046,EOD
30/08/2021,VAR MARGIN PAID,1009607894,EOD
27/08/2021,VAR MARGIN PAID,1005523951,EOD
27/08/2021,MARGIN CALL,101508035,ID
27/08/2021,MARGIN CALL,298665263,EOD
26/08/2021,VAR MARGIN PAID,672616314,EOD
26/08/2021,MARGIN CALL,246501237,EOD
26/08/2021,MARGIN CALL,23500000,ID
25/08/2021,MARGIN CALL,765736349,ID
25/08/2021,MARGIN CALL,351982136,EOD
25/08/2021,VAR MARGIN PAID,3171081242,EOD
24/08/2021,MARGIN CALL,215358196,EOD
24/08/2021,VAR MARGIN PAID,1180800527,EOD
24/08/2021,MARGIN CALL,143500000,ID
23/08/2021,MARGIN CALL,215662528,EOD
23/08/2021,MARGIN CALL,146877962,ID
23/08/2021,VAR MARGIN PAID,1567807068,EOD
20/08/2021,VAR MARGIN PAID,1047636403,EOD
20/08/2021,MARGIN CALL,520570408,EOD
20/08/2021,MARGIN CALL,54126467,ID
19/08/2021,MARGIN CALL,893917237,ID
19/08/2021,VAR MARGIN PAID,2472423603,EOD
19/08/2021,MARGIN CALL,420191533,EOD
18/08/2021,VAR MARGIN PAID,888016313,EOD
18/08/2021,MARGIN CALL,443800679,EOD
17/08/2021,VAR MARGIN PAID,1061626936,EOD
17/08/2021,MARGIN CALL,442460653,EOD
17/08/2021,MARGIN CALL,296757970,ID
16/08/2021,MARGIN CALL,92500000,ID
16/08/2021,VAR MARGIN PAID,1180919888,EOD
16/08/2021,MARGIN CALL,191764471,EOD
13/08/2021,MARGIN CALL,246745505,EOD
13/08/2021,VAR MARGIN PAID,808929487,EOD
13/08/2021,MARGIN CALL,56624309,ID
12/08/2021,MARGIN CALL,112889854,ID
12/08/2021,MARGIN CALL,521851916,EOD
12/08/2021,VAR MARGIN PAID,964278634,EOD
11/08/2021,MARGIN CALL,98349889,ID
11/08/2021,MARGIN CALL,425164853,EOD
11/08/2021,VAR MARGIN PAID,694279974,EOD
10/08/2021,VAR MARGIN PAID,769527574,EOD
10/08/2021,MARGIN CALL,26500000,ID
10/08/2021,MARGIN CALL,252216302,EOD
09/08/2021,VAR MARGIN PAID,934772676,EOD
09/08/2021,MARGIN CALL,749730429,EOD
09/08/2021,MARGIN CALL,101379687,ID
06/08/2021,MARGIN CALL,383152266,EOD
06/08/2021,MARGIN CALL,478184180,ID
06/08/2021,VAR MARGIN PAID,2805521071,EOD
05/08/2021,MARGIN CALL,780853197,EOD
05/08/2021,VAR MARGIN PAID,1297080987,EOD
05/08/2021,MARGIN CALL,311816456,ID
04/08/2021,VAR MARGIN PAID,1293780573,EOD
04/08/2021,MARGIN CALL,164075542,ID
04/08/2021,MARGIN CALL,578609744,EOD
03/08/2021,VAR MARGIN PAID,928158991,EOD
03/08/2021,MARGIN CALL,266290457,EOD
03/08/2021,MARGIN CALL,47065839,ID
02/08/2021,VAR MARGIN PAID,1968509584,EOD
02/08/2021,MARGIN CALL,709580650,EOD
02/08/2021,MARGIN CALL,222781760,ID
30/07/2021,VAR MARGIN PAID,1466975442,EOD
30/07/2021,MARGIN CALL,625009594,EOD
30/07/2021,MARGIN CALL,149797914,ID
29/07/2021,VAR MARGIN PAID,1077936714,EOD
29/07/2021,MARGIN CALL,345939225,ID
29/07/2021,MARGIN CALL,401538736,EOD
28/07/2021,MARGIN CALL,361483188,ID
28/07/2021,MARGIN CALL,580932773,EOD
28/07/2021,VAR MARGIN PAID,1625276349,EOD
27/07/2021,VAR MARGIN PAID,1977680769,EOD
27/07/2021,MARGIN CALL,395000000,ID
27/07/2021,MARGIN CALL,355665032,EOD
26/07/2021,MARGIN CALL,442875854,ID
26/07/2021,MARGIN CALL,284520565,EOD
26/07/2021,VAR MARGIN PAID,1010677583,EOD
23/07/2021,MARGIN CALL,406035129,ID
23/07/2021,VAR MARGIN PAID,2001001184,EOD
23/07/2021,MARGIN CALL,1504340361,EOD
22/07/2021,MARGIN CALL,431061421,EOD
22/07/2021,MARGIN CALL,344569002,ID
22/07/2021,VAR MARGIN PAID,1821363637,EOD
21/07/2021,MARGIN CALL,778941887,EOD
21/07/2021,MARGIN CALL,380367424,ID
21/07/2021,VAR MARGIN PAID,2916838599,EOD
20/07/2021,MARGIN CALL,387624866,EOD
